id	symbol	synonyms	left_end_pos	right_end_pos	direction	rna_ids	is_metabolic	is_single_gene_operon	operon_size	tu_id	other_genes_in_operon
EG10128	btuD	"[""btuD"", ""b1709"", ""ECK1707""]"	1792809.0	1793558.0	-	"[""EG10128_RNA""]"	False	True	1.0	TU0-44193[c]	
EG10131	cadA	"[""cadA"", ""ldcI"", ""b4131"", ""ECK4125""]"	4356470.0	4358617.0	-	"[""EG10131_RNA""]"	False	True	1.0	TU0-14513[c]	
EG10133	cadC	"[""cadC"", ""b4133"", ""ECK4127""]"	4360396.0	4361934.0	-	"[""EG10133_RNA""]"	False	True	1.0	TU00118[c]	
EG10135	carB	"[""carB"", ""pyrA"", ""b0033"", ""ECK0034""]"	30817.0	34038.0	+	"[""EG10135_RNA""]"	False	True	1.0	TU0-6884[c]	
EG10137	cdd	"[""cdd"", ""b2143"", ""ECK2136""]"	2231844.0	2232728.0	+	"[""EG10137_RNA""]"	False	True	1.0	TU841[c]	
EG10145	creD	"[""creD"", ""refII"", ""cet"", ""b4400"", ""ECK4392""]"	4638178.0	4639530.0	+	"[""EG10145_RNA""]"	False	True	1.0	TU0-14683[c]	
EG10146	cheA	"[""cheA"", ""b1888"", ""ECK1889""]"	1973360.0	1975324.0	-	"[""EG10146_RNA""]"	False	True	1.0	EG10146_RNA[c]	
EG10149	cheW	"[""cheW"", ""b1887"", ""ECK1888""]"	1972836.0	1973339.0	-	"[""EG10149_RNA""]"	False	True	1.0	EG10149_RNA[c]	
EG10155	cirA	"[""cirA"", ""cir"", ""feuA"", ""b2155"", ""ECK2148""]"	2244778.0	2246769.0	-	"[""EG10155_RNA""]"	False	True	1.0	TU00014[c]	
EG10156	clpA	"[""clpA"", ""lopD"", ""b0882"", ""ECK0873""]"	923264.0	925540.0	+	"[""EG10156_RNA""]"	False	True	1.0	TU00445[c]	
EG10157	clpB	"[""clpB"", ""htpM"", ""b2592"", ""ECK2590""]"	2731600.0	2734173.0	-	"[""EG10157_RNA""]"	False	True	1.0	TU0-45212[c]	
EG10164	crp	"[""crp"", ""cap"", ""csm"", ""gurB"", ""b3357"", ""ECK3345""]"	3486120.0	3486752.0	+	"[""EG10164_RNA""]"	False	True	1.0	TU0-14396[c]	
EG10166	cspA	"[""cspA"", ""b3556"", ""ECK3543""]"	3720049.0	3720261.0	+	"[""EG10166_RNA""]"	False	True	1.0	TU0-1581[c]	
EG10184	cysB	"[""cysB"", ""b1275"", ""ECK1269""]"	1333855.0	1334829.0	+	"[""EG10184_RNA""]"	False	True	1.0	TU00077[c]	
EG10187	cysE	"[""cysE"", ""b3607"", ""ECK3597""]"	3781741.0	3782562.0	-	"[""EG10187_RNA""]"	False	True	1.0	TU0-6501[c]	
EG10188	cysG	"[""cysG"", ""b3368"", ""ECK3356""]"	3497828.0	3499201.0	+	"[""EG10188_RNA""]"	False	True	1.0	TU0-0[c]	
EG10189	cysH	"[""cysH"", ""b2762"", ""ECK2757""]"	2887578.0	2888312.0	-	"[""EG10189_RNA""]"	False	True	1.0	TU0-14511[c]	
EG10192	cysK	"[""cysK"", ""ssi5"", ""b2414"", ""ECK2409""]"	2532409.0	2533380.0	+	"[""EG10192_RNA""]"	False	True	1.0	TU0-14642[c]	
EG10200	cytR	"[""cytR"", ""b3934"", ""ECK3926""]"	4123431.0	4124456.0	-	"[""EG10200_RNA""]"	False	True	1.0	TU0-5961[c]	
EG10201	dacA	"[""dacA"", ""pfv"", ""b0632"", ""ECK0625""]"	662752.0	663963.0	-	"[""EG10201_RNA""]"	False	True	1.0	TU0-13008[c]	
EG10202	dacB	"[""dacB"", ""b3182"", ""ECK3171""]"	3328963.0	3330396.0	+	"[""EG10202_RNA""]"	False	True	1.0	TU0-8781[c]	
EG10203	dacC	"[""dacC"", ""b0839"", ""ECK0829""]"	880727.0	881929.0	+	"[""EG10203_RNA""]"	False	True	1.0	TU0-8782[c]	
EG10206	dapB	"[""dapB"", ""b0031"", ""ECK0032""]"	28374.0	29195.0	+	"[""EG10206_RNA""]"	False	True	1.0	TU0-14399[c]	
EG10210	dbpA	"[""dbpA"", ""rhlC"", ""b1343"", ""ECK1340""]"	1409511.0	1410884.0	+	"[""EG10210_RNA""]"	False	True	1.0	EG10210_RNA[c]	
EG10214	ddlB	"[""ddlB"", ""ddl"", ""b0092"", ""ECK0093""]"	102233.0	103153.0	+	"[""EG10214_RNA""]"	False	True	1.0	EG10214_RNA[c]	
EG10215	deaD	"[""deaD"", ""csdA"", ""mssB"", ""rhlD"", ""b3162"", ""ECK3150""]"	3305971.0	3307860.0	-	"[""EG10215_RNA""]"	False	True	1.0	TU0-13880[c]	
EG10217	accD	"[""accD"", ""dedB"", ""usg"", ""b2316"", ""ECK2310""]"	2433012.0	2433926.0	-	"[""EG10217_RNA""]"	False	True	1.0	TU00232[c]	
EG10223	deoR	"[""deoR"", ""nucR"", ""b0840"", ""ECK0830""]"	881976.0	882734.0	-	"[""EG10223_RNA""]"	False	True	1.0	TU0-13067[c]	
EG10224	dgkA	"[""dgkA"", ""b4042"", ""ECK4034""]"	4256637.0	4257005.0	+	"[""EG10224_RNA""]"	False	True	1.0	TU0-14115[c]	
EG10225	dgt	"[""dgt"", ""optA"", ""b0160"", ""ECK0159""]"	179237.0	180754.0	+	"[""EG10225_RNA""]"	False	True	1.0	TU0-12823[c]	
EG10226	dicA	"[""dicA"", ""ftsT"", ""b1570"", ""ECK1564""]"	1647934.0	1648341.0	+	"[""EG10226_RNA""]"	False	True	1.0	TU0-13328[c]	
EG10229	flk	"[""flk"", ""div"", ""b2321"", ""ECK2315""]"	2437950.0	2438945.0	+	"[""EG10229_RNA""]"	False	True	1.0	TU0-5184[c]	
EG10236	dnaB	"[""dnaB"", ""groP"", ""grpA"", ""grpD"", ""b4052"", ""ECK4044""]"	4264314.0	4265729.0	+	"[""EG10236_RNA""]"	False	True	1.0	TU0-14119[c]	
EG10243	dnaQ	"[""dnaQ"", ""mutD"", ""b0215"", ""ECK0215""]"	236067.0	236798.0	+	"[""EG10243_RNA""]"	False	True	1.0	TU0-12843[c]	
EG10245	dnaX	"[""dnaX"", ""dnaZ"", ""b0470"", ""ECK0464""]"	492092.0	494023.0	+	"[""EG10245_RNA""]"	False	True	1.0	TU0-12948[c]	
EG10254	ebgR	"[""ebgR"", ""b3075"", ""ECK3065""]"	3221466.0	3222449.0	+	"[""EG10254_RNA""]"	False	True	1.0	TU0-13850[c]	
EG10255	eco	"[""eco"", ""eti"", ""b2209"", ""ECK2201""]"	2303905.0	2304393.0	+	"[""EG10255_RNA""]"	False	True	1.0	TU0-8790[c]	
EG10258	eno	"[""eno"", ""b2779"", ""ECK2773""]"	2906643.0	2907941.0	-	"[""EG10258_RNA""]"	False	True	1.0	TU0-14412[c]	
EG10272	exbD	"[""exbD"", ""b3005"", ""ECK2998""]"	3150818.0	3151243.0	-	"[""EG10272_RNA""]"	False	True	1.0	TU0-2562[c]	
EG10273	fabA	"[""fabA"", ""b0954"", ""ECK0945""]"	1015952.0	1016470.0	-	"[""EG10273_RNA""]"	False	True	1.0	TU00092[c]	
EG10274	fabB	"[""fabB"", ""fabC"", ""b2323"", ""ECK2317""]"	2440385.0	2441605.0	-	"[""EG10274_RNA""]"	False	True	1.0	TU0-1482[c]	
EG10281	fadR	"[""fadR"", ""dec"", ""ole"", ""oleR"", ""thdB"", ""b1187"", ""ECK1175""]"	1234938.0	1235657.0	+	"[""EG10281_RNA""]"	False	True	1.0	TU0-14737[c]	
EG10283	fbp	"[""fbp"", ""fdp"", ""b4232"", ""ECK4227""]"	4454611.0	4455609.0	-	"[""EG10283_RNA""]"	False	True	1.0	TU0-8336[c]	
EG10294	fepB	"[""fepB"", ""b0592"", ""ECK0585""]"	623554.0	624510.0	-	"[""EG10294_RNA""]"	False	True	1.0	TU00164[c]	
EG10300	ffh	"[""ffh"", ""b2610"", ""ECK2607""]"	2746434.0	2747795.0	-	"[""EG10300_RNA""]"	False	True	1.0	TU0-13680[c]	
EG10306	fhuE	"[""fhuE"", ""b1102"", ""ECK1088""]"	1159362.0	1161551.0	-	"[""EG10306_RNA""]"	False	True	1.0	TU0-2581[c]	
EG10308	fimA	"[""fimA"", ""fimD"", ""pilA"", ""b4314"", ""ECK4305""]"	4543115.0	4543663.0	+	"[""EG10308_RNA""]"	False	True	1.0	fimA[c]	
EG10309	fimB	"[""fimB"", ""pil"", ""b4312"", ""ECK4303""]"	4540957.0	4541559.0	+	"[""EG10309_RNA""]"	False	True	1.0	TU00409[c]	
EG10310	fimC	"[""fimC"", ""pilB"", ""b4316"", ""ECK4307""]"	4544304.0	4545029.0	+	"[""EG10310_RNA""]"	False	True	1.0	EG10310_RNA[c]	
EG10311	fimD	"[""fimD"", ""fimD_1"", ""fimD_2"", ""b4317"", ""ECK4308""]"	4545096.0	4547732.0	+	"[""EG10311_RNA""]"	False	True	1.0	EG10311_RNA[c]	
EG10312	fimE	"[""fimE"", ""hyp"", ""pilH"", ""b4313"", ""ECK4304""]"	4542037.0	4542633.0	+	"[""EG10312_RNA""]"	False	True	1.0	TU183[c]	
EG10313	fimF	"[""fimF"", ""b4318"", ""ECK4309""]"	4547742.0	4548272.0	+	"[""EG10313_RNA""]"	False	True	1.0	EG10313_RNA[c]	
EG10314	fimG	"[""fimG"", ""b4319"", ""ECK4310""]"	4548285.0	4548788.0	+	"[""EG10314_RNA""]"	False	True	1.0	EG10314_RNA[c]	
EG10315	fimH	"[""fimH"", ""pilE"", ""b4320"", ""ECK4311""]"	4548808.0	4549710.0	+	"[""EG10315_RNA""]"	False	True	1.0	EG10315_RNA[c]	
EG10321	fliC	"[""fliC"", ""H"", ""flaF"", ""hag"", ""b1923"", ""ECK1922""]"	2002110.0	2003606.0	-	"[""EG10321_RNA""]"	False	True	1.0	EG10321_RNA[c]	
EG10325	fnr	"[""fnr"", ""nirA"", ""nirR"", ""ossA"", ""oxrA"", ""b1334"", ""ECK1330""]"	1398774.0	1399526.0	-	"[""EG10325_RNA""]"	False	True	1.0	TU00022[c]	
EG10335	frr	"[""frr"", ""rrf"", ""b0172"", ""ECK0171""]"	192872.0	193429.0	+	"[""EG10335_RNA""]"	False	True	1.0	TU0-42525[c]	
EG10338	cra	"[""cra"", ""fruR"", ""fruC"", ""shl"", ""b0080"", ""ECK0081""]"	88028.0	89032.0	+	"[""EG10338_RNA""]"	False	True	1.0	TU0-12808[c]	
EG10342	ftsQ	"[""ftsQ"", ""b0093"", ""ECK0094""]"	103155.0	103985.0	+	"[""EG10342_RNA""]"	False	True	1.0	TU0-3941[c]	
EG10344	ftsW	"[""ftsW"", ""b0089"", ""ECK0090""]"	98403.0	99647.0	+	"[""EG10344_RNA""]"	False	True	1.0	EG10344_RNA[c]	
EG10351	fucO	"[""fucO"", ""b2799"", ""ECK2794""]"	2931865.0	2933013.0	-	"[""EG10351_RNA""]"	False	True	1.0	TU0-42697[c]	
EG10353	fucR	"[""fucR"", ""b2805"", ""ECK2800""]"	2939368.0	2940099.0	+	"[""EG10353_RNA""]"	False	True	1.0	TU0-14502[c]	
EG10355	fucU	"[""fucU"", ""b2804"", ""ECK2799""]"	2938888.0	2939310.0	+	"[""EG10355_RNA""]"	False	True	1.0	TU0-42698[c]	
EG10358	fumC	"[""fumC"", ""b1611"", ""ECK1606""]"	1685185.0	1686588.0	-	"[""EG10358_RNA""]"	False	True	1.0	TU0-42482[c]	
EG10362	galE	"[""galE"", ""galD"", ""b0759"", ""ECK0748""]"	791039.0	792055.0	-	"[""EG10362_RNA""]"	False	True	1.0	TU0-42578[c]	
EG10364	galR	"[""galR"", ""Rgal"", ""b2837"", ""ECK2835""]"	2976599.0	2977630.0	+	"[""EG10364_RNA""]"	False	True	1.0	TU0-881[c]	
EG10365	galS	"[""galS"", ""mglD"", ""b2151"", ""ECK2144""]"	2240628.0	2241668.0	-	"[""EG10365_RNA""]"	False	True	1.0	TU00024[c]	
EG10367	gapA	"[""gapA"", ""gad"", ""gap1"", ""b1779"", ""ECK1777""]"	1862771.0	1863766.0	+	"[""EG10367_RNA""]"	False	True	1.0	TU0-42480[c]	
EG10372	gdhA	"[""gdhA"", ""b1761"", ""ECK1759""]"	1842371.0	1843714.0	+	"[""EG10372_RNA""]"	False	True	1.0	TU0-1201[c]	
EG10374	ggt	"[""ggt"", ""b3447"", ""ECK3431""]"	3585081.0	3586823.0	-	"[""EG10374_RNA""]"	False	True	1.0	TU0-8802[c]	
EG10383	glnA	"[""glnA"", ""b3870"", ""ECK3863""]"	4056625.0	4058034.0	-	"[""EG10383_RNA""]"	False	True	1.0	EG10383_RNA[c]	
EG10394	glpD	"[""glpD"", ""glyD"", ""b3426"", ""ECK3412""]"	3562013.0	3563518.0	+	"[""EG10394_RNA""]"	False	True	1.0	TU00031[c]	
EG10399	glpQ	"[""glpQ"", ""b2239"", ""ECK2231""]"	2349935.0	2351011.0	-	"[""EG10399_RNA""]"	False	True	1.0	TU0-42700[c]	
EG10402	gltA	"[""gltA"", ""gluT"", ""icdB"", ""b0720"", ""ECK0709""]"	753185.0	754468.0	-	"[""EG10402_RNA""]"	False	True	1.0	TU00106[c]	
EG10408	glyA	"[""glyA"", ""b2551"", ""ECK2548""]"	2684254.0	2685507.0	-	"[""EG10408_RNA""]"	False	True	1.0	TU00192[c]	
EG10412	gor	"[""gor"", ""gorA"", ""b3500"", ""ECK3485""]"	3646299.0	3647651.0	+	"[""EG10412_RNA""]"	False	True	1.0	TU0-14[c]	
EG10413	gpp	"[""gpp"", ""gppA"", ""b3779"", ""ECK3771""]"	3962745.0	3964229.0	-	"[""EG10413_RNA""]"	False	True	1.0	TU0-14036[c]	
EG10414	gpt	"[""gpt"", ""glyD"", ""gpp"", ""gxu"", ""b0238"", ""ECK0239""]"	255977.0	256435.0	+	"[""EG10414_RNA""]"	False	True	1.0	TU0-14680[c]	
EG10415	greA	"[""greA"", ""b3181"", ""ECK3170""]"	3328239.0	3328715.0	-	"[""EG10415_RNA""]"	False	True	1.0	TU-8397[c]	
EG10416	grpE	"[""grpE"", ""b2614"", ""ECK2610""]"	2750115.0	2750708.0	-	"[""EG10416_RNA""]"	False	True	1.0	TU00411[c]	
EG10422	guaC	"[""guaC"", ""b0104"", ""ECK0104""]"	113444.0	114487.0	+	"[""EG10422_RNA""]"	False	True	1.0	TU0-8807[c]	
EG10423	gyrA	"[""gyrA"", ""hisW"", ""nalA"", ""nfxA"", ""norA"", ""parD"", ""b2231"", ""ECK2223""]"	2336793.0	2339420.0	-	"[""EG10423_RNA""]"	False	True	1.0	TU00140[c]	
EG10424	gyrB	"[""gyrB"", ""hopA"", ""pcpA"", ""pcbA"", ""parA"", ""nalC"", ""Cou"", ""acrB"", ""himB"", ""hisU"", ""b3699"", ""ECK3691""]"	3877705.0	3880119.0	-	"[""EG10424_RNA""]"	False	True	1.0	TU0-2603[c]	
EG10425	hdhA	"[""hdhA"", ""hsd"", ""hsdH"", ""b1619"", ""ECK1614""]"	1697273.0	1698040.0	-	"[""EG10425_RNA""]"	False	True	1.0	TU0-13349[c]	
EG10426	helD	"[""helD"", ""srjB"", ""b0962"", ""ECK0953""]"	1024471.0	1026525.0	+	"[""EG10426_RNA""]"	False	True	1.0	TU0-8809[c]	
EG10428	hemB	"[""hemB"", ""ncf"", ""b0369"", ""ECK0366""]"	388753.0	389727.0	-	"[""EG10428_RNA""]"	False	True	1.0	TU0-12908[c]	
EG10432	hemL	"[""hemL"", ""gsa"", ""popC"", ""b0154"", ""ECK0153""]"	173602.0	174882.0	-	"[""EG10432_RNA""]"	False	True	1.0	TU0-14805[c]	
EG10441	ihfB	"[""ihfB"", ""hip"", ""himD"", ""b0912"", ""ECK0903""]"	963828.0	964112.0	+	"[""EG10441_RNA""]"	False	True	1.0	TU0-45280[c]	
EG10453	hisS	"[""hisS"", ""b2514"", ""ECK2510""]"	2639301.0	2640575.0	-	"[""EG10453_RNA""]"	False	True	1.0	TU0-6506[c]	
EG10457	hns	"[""hns"", ""B1"", ""H1"", ""virR"", ""topX"", ""topS"", ""pilG"", ""osmZ"", ""msyA"", ""irk"", ""hnsA"", ""bglY"", ""cur"", ""drc"", ""drdX"", ""drs"", ""fimG"", ""b1237"", ""ECK1232""]"	1292509.0	1292922.0	-	"[""EG10457_RNA""]"	False	True	1.0	TU00139[c]	
EG10461	htpG	"[""htpG"", ""b0473"", ""ECK0467""]"	495120.0	496994.0	+	"[""EG10461_RNA""]"	False	True	1.0	TU0-14784[c]	
EG10462	htpX	"[""htpX"", ""b1829"", ""ECK1828""]"	1911695.0	1912576.0	-	"[""EG10462_RNA""]"	False	True	1.0	TU00400[c]	
EG10463	degP	"[""degP"", ""htrA"", ""ptd"", ""b0161"", ""ECK0160""]"	180884.0	182308.0	+	"[""EG10463_RNA""]"	False	True	1.0	TU584[c]	
EG10465	ribB	"[""ribB"", ""luxH"", ""htrP"", ""luxH-l"", ""b3041"", ""ECK3032""]"	3183813.0	3184466.0	-	"[""EG10465_RNA""]"	False	True	1.0	TU0-13839[c]	
EG10466	hupA	"[""hupA"", ""b4000"", ""ECK3992""]"	4200281.0	4200553.0	+	"[""EG10466_RNA""]"	False	True	1.0	TU486[c]	
EG10467	hupB	"[""hupB"", ""dpeA"", ""dbhB"", ""hopD"", ""b0440"", ""ECK0434""]"	461451.0	461723.0	+	"[""EG10467_RNA""]"	False	True	1.0	TU487[c]	
EG10489	icd	"[""icd"", ""icdE"", ""icdA"", ""b1136"", ""ECK1122""]"	1195123.0	1196373.0	+	"[""EG10489_RNA""]"	False	True	1.0	TU00107[c]	
EG10490	argP	"[""argP"", ""iciA"", ""b2916"", ""ECK2912""]"	3059753.0	3060646.0	+	"[""EG10490_RNA""]"	False	True	1.0	TU0-1341[c]	
EG10491	iclR	"[""iclR"", ""b4018"", ""ECK4010""]"	4222804.0	4223628.0	-	"[""EG10491_RNA""]"	False	True	1.0	TU0-4288[c]	
EG10493	ilvA	"[""ilvA"", ""ile"", ""b3772"", ""ECK3764""]"	3955331.0	3956875.0	+	"[""EG10493_RNA""]"	False	True	1.0	TU0-6651[c]	
EG10495	ilvC	"[""ilvC"", ""b3774"", ""ECK3766""]"	3957970.0	3959445.0	+	"[""EG10495_RNA""]"	False	True	1.0	TU00090[c]	
EG10503	ilvY	"[""ilvY"", ""b3773"", ""ECK3765""]"	3956927.0	3957820.0	-	"[""EG10503_RNA""]"	False	True	1.0	TU0-45235[c]	
EG10504	infA	"[""infA"", ""bypA1"", ""b0884"", ""ECK0875""]"	926225.0	926443.0	-	"[""EG10504_RNA""]"	False	True	1.0	TU-8389[c]	
EG10505	infB	"[""infB"", ""ssyG"", ""b3168"", ""ECK3157""]"	3313342.0	3316014.0	-	"[""EG10505_RNA""]"	False	True	1.0	TU0-44225[c]	
EG10507	intD	"[""intD"", ""int"", ""b0537"", ""ECK0530""]"	564815.0	565978.0	-	"[""EG10507_RNA""]"	False	True	1.0	TU0-8837[c]	
EG10509	katE	"[""katE"", ""b1732"", ""ECK1730""]"	1813867.0	1816128.0	+	"[""EG10509_RNA""]"	False	True	1.0	TU0-6507[c]	
EG10510	rpoS	"[""rpoS"", ""sigS"", ""otsX"", ""abrD"", ""appR"", ""csi2"", ""dpeB"", ""katF"", ""nur"", ""b2741"", ""ECK2736""]"	2866559.0	2867551.0	-	"[""EG10510_RNA""]"	False	True	1.0	TU0-14649[c]	
EG10511	katG	"[""katG"", ""b3942"", ""ECK3934""]"	4133835.0	4136015.0	+	"[""EG10511_RNA""]"	False	True	1.0	TU00034[c]	
EG10531	leuO	"[""leuO"", ""b0076"", ""ECK0078""]"	84368.0	85312.0	+	"[""EG10531_RNA""]"	False	True	1.0	TU0-12807[c]	
EG10535	lit	"[""lit"", ""b1139"", ""ECK1125""]"	1198695.0	1199588.0	+	"[""EG10535_RNA""]"	False	True	1.0	TU0-8848[c]	
EG10539	livJ	"[""livJ"", ""hrbD"", ""hrbC"", ""hrbB"", ""b3460"", ""ECK3444""]"	3598555.0	3599658.0	-	"[""EG10539_RNA""]"	False	True	1.0	TU00183[c]	
EG10544	lpp	"[""lpp"", ""mlpA"", ""b1677"", ""ECK1673""]"	1757421.0	1757657.0	+	"[""EG10544_RNA""]"	False	True	1.0	TU0-6509[c]	
