id	symbol	synonyms	left_end_pos	right_end_pos	direction	rna_ids	is_metabolic_biocyc
EG10020	cpxR	"[""cpxR"", ""yiiA"", ""b3912"", ""ECK3905""]"	4104972.0	4105670.0	-	"[""EG10020_RNA""]"	False
EG10021	yjiA	"[""yjiA"", ""b4352"", ""ECK4342""]"	4587909.0	4588865.0	-	"[""EG10021_RNA""]"	False
EG10022	aceA	"[""aceA"", ""icl"", ""b4015"", ""ECK4007""]"	4217109.0	4218413.0	+	"[""EG10022_RNA""]"	False
EG10023	aceB	"[""aceB"", ""mas"", ""b4014"", ""ECK4006""]"	4215478.0	4217079.0	+	"[""EG10023_RNA""]"	False
EG10024	aceE	"[""aceE"", ""b0114"", ""ECK0113""]"	123017.0	125680.0	+	"[""EG10024_RNA""]"	False
EG10025	aceF	"[""aceF"", ""b0115"", ""ECK0114""]"	125695.0	127587.0	+	"[""EG10025_RNA""]"	False
EG10026	aceK	"[""aceK"", ""b4016"", ""ECK4008""]"	4218596.0	4220332.0	+	"[""EG10026_RNA""]"	False
EG10027	ackA	"[""ackA"", ""b2296"", ""ECK2290""]"	2413470.0	2414672.0	+	"[""EG10027_RNA""]"	False
EG10028	pflA	"[""pflA"", ""act"", ""b0902"", ""ECK0893""]"	950340.0	951080.0	-	"[""EG10028_RNA""]"	False
EG10029	ada	"[""ada"", ""b2213"", ""ECK2205""]"	2309341.0	2310405.0	-	"[""EG10029_RNA""]"	False
EG10030	add	"[""add"", ""b1623"", ""ECK1618""]"	1702233.0	1703234.0	+	"[""EG10030_RNA""]"	False
EG10031	adhE	"[""adhE"", ""adhC"", ""ana"", ""b1241"", ""ECK1235""]"	1295446.0	1298121.0	-	"[""EG10031_RNA""]"	False
EG10032	adk	"[""adk"", ""dnaW"", ""plsA"", ""b0474"", ""ECK0468""]"	497175.0	497819.0	+	"[""EG10032_RNA""]"	False
EG10033	agp	"[""agp"", ""b1002"", ""ECK0993""]"	1065585.0	1066826.0	+	"[""EG10033_RNA""]"	False
EG10034	alaS	"[""alaS"", ""act"", ""ala-act"", ""lovB"", ""b2697"", ""ECK2692""]"	2819381.0	2822011.0	-	"[""EG10034_RNA""]"	False
EG10035	aldA	"[""aldA"", ""ald"", ""b1415"", ""ECK1408""]"	1488232.0	1489671.0	+	"[""EG10035_RNA""]"	False
EG10036	puuC	"[""puuC"", ""aldH"", ""b1300"", ""ECK1295""]"	1362743.0	1364230.0	+	"[""EG10036_RNA""]"	False
EG10037	alkB	"[""alkB"", ""aidD"", ""b2212"", ""ECK2204""]"	2308691.0	2309341.0	-	"[""EG10037_RNA""]"	False
EG10039	amn	"[""amn"", ""b1982"", ""ECK1977""]"	2055061.0	2056515.0	+	"[""EG10039_RNA""]"	False
EG10040	ampC	"[""ampC"", ""ampA"", ""b4150"", ""ECK4146""]"	4377811.0	4378944.0	-	"[""EG10040_RNA""]"	False
EG10041	ampD	"[""ampD"", ""b0110"", ""ECK0109""]"	118733.0	119284.0	+	"[""EG10041_RNA""]"	False
EG10042	ampE	"[""ampE"", ""b0111"", ""ECK0110""]"	119281.0	120135.0	+	"[""EG10042_RNA""]"	False
EG10043	cysQ	"[""cysQ"", ""amt"", ""amtA"", ""b4214"", ""ECK4210""]"	4436755.0	4437495.0	+	"[""EG10043_RNA""]"	False
EG10044	osmE	"[""osmE"", ""anr"", ""b1739"", ""ECK1737""]"	1821918.0	1822256.0	-	"[""EG10044_RNA""]"	False
EG10045	ansA	"[""ansA"", ""b1767"", ""ECK1765""]"	1850860.0	1851876.0	+	"[""EG10045_RNA""]"	False
EG10046	ansB	"[""ansB"", ""b2957"", ""ECK2952""]"	3099682.0	3100728.0	-	"[""EG10046_RNA""]"	False
EG10047	apaG	"[""apaG"", ""b0050"", ""ECK0051""]"	51229.0	51606.0	-	"[""EG10047_RNA""]"	False
EG10048	apaH	"[""apaH"", ""cfcB"", ""b0049"", ""ECK0050""]"	50380.0	51222.0	-	"[""EG10048_RNA""]"	False
EG10049	appA	"[""appA"", ""b0980"", ""ECK0971""]"	1040617.0	1041915.0	+	"[""EG10049_RNA""]"	False
EG10050	appY	"[""appY"", ""b0564"", ""ECK0556""]"	583681.0	584430.0	+	"[""EG10050_RNA""]"	False
EG10051	apt	"[""apt"", ""b0469"", ""ECK0463""]"	491412.0	491963.0	+	"[""EG10051_RNA""]"	False
EG10052	araA	"[""araA"", ""b0062"", ""ECK0063""]"	66835.0	68337.0	-	"[""EG10052_RNA""]"	False
EG10053	araB	"[""araB"", ""b0063"", ""ECK0064""]"	68348.0	70048.0	-	"[""EG10053_RNA""]"	False
EG10054	araC	"[""araC"", ""b0064"", ""ECK0065""]"	70387.0	71265.0	+	"[""EG10054_RNA""]"	False
EG10055	araD	"[""araD"", ""b0061"", ""ECK0062""]"	65855.0	66550.0	-	"[""EG10055_RNA""]"	False
EG10056	araE	"[""araE"", ""b2841"", ""ECK2839""]"	2980764.0	2982182.0	-	"[""EG10056_RNA""]"	False
EG10057	araF	"[""araF"", ""b1901"", ""ECK1899""]"	1985139.0	1986128.0	-	"[""EG10057_RNA""]"	False
EG10058	araG	"[""araG"", ""b1900"", ""ECK1898""]"	1983555.0	1985069.0	-	"[""EG10058_RNA""]"	False
EG10059	araH	"[""araH"", ""b1898"", ""b1899"", ""b4460"", ""ECK1897""]"	1982554.0	1983540.0	-	"[""EG10059_RNA""]"	False
EG10060	araJ	"[""araJ"", ""araT"", ""b0396"", ""ECK0390""]"	411297.0	412481.0	-	"[""EG10060_RNA""]"	False
EG10061	arcA	"[""arcA"", ""sfrA"", ""cpxC"", ""dye"", ""fexA"", ""msp"", ""seg"", ""b4401"", ""ECK4393""]"	4639590.0	4640306.0	-	"[""EG10061_RNA""]"	False
EG10062	arcB	"[""arcB"", ""b3210"", ""ECK3200""]"	3350689.0	3353025.0	-	"[""EG10062_RNA""]"	False
EG10063	argA	"[""argA"", ""Arg2"", ""Arg1"", ""b2818"", ""ECK2814""]"	2949242.0	2950573.0	+	"[""EG10063_RNA""]"	False
EG10064	argB	"[""argB"", ""b3959"", ""ECK3950""]"	4156013.0	4156789.0	+	"[""EG10064_RNA""]"	False
EG10065	argC	"[""argC"", ""Arg2"", ""b3958"", ""ECK3949""]"	4155001.0	4156005.0	+	"[""EG10065_RNA""]"	False
EG10066	argD	"[""argD"", ""Arg1"", ""dapC"", ""dtu"", ""b3359"", ""ECK3347""]"	3488960.0	3490180.0	-	"[""EG10066_RNA""]"	False
EG10067	argF	"[""argF"", ""b0273"", ""ECK0274""]"	289301.0	290305.0	-	"[""EG10067_RNA""]"	False
EG10068	argG	"[""argG"", ""b3172"", ""ECK3161""]"	3318637.0	3319980.0	+	"[""EG10068_RNA""]"	False
EG10069	argI	"[""argI"", ""b4254"", ""ECK4247""]"	4477307.0	4478311.0	-	"[""EG10069_RNA""]"	False
EG10070	argR	"[""argR"", ""Rarg"", ""xerA"", ""b3237"", ""ECK3226""]"	3384703.0	3385173.0	+	"[""EG10070_RNA""]"	False
EG10071	argS	"[""argS"", ""lov"", ""lov-1"", ""b1876"", ""ECK1877""]"	1960062.0	1961795.0	+	"[""EG10071_RNA""]"	False
EG10072	argT	"[""argT"", ""b2310"", ""ECK2304""]"	2427009.0	2427791.0	-	"[""EG10072_RNA""]"	False
EG10073	aroA	"[""aroA"", ""b0908"", ""ECK0899""]"	958812.0	960095.0	+	"[""EG10073_RNA""]"	False
EG10074	aroB	"[""aroB"", ""b3389"", ""ECK3376""]"	3517398.0	3518486.0	-	"[""EG10074_RNA""]"	False
EG10075	aroC	"[""aroC"", ""b2329"", ""ECK2323""]"	2446388.0	2447473.0	-	"[""EG10075_RNA""]"	False
EG10076	aroD	"[""aroD"", ""b1693"", ""ECK1691""]"	1774686.0	1775444.0	+	"[""EG10076_RNA""]"	False
EG10077	aroE	"[""aroE"", ""b3281"", ""ECK3268""]"	3430020.0	3430838.0	-	"[""EG10077_RNA""]"	False
EG10078	aroF	"[""aroF"", ""b2601"", ""ECK2598""]"	2740080.0	2741150.0	-	"[""EG10078_RNA""]"	False
EG10079	aroG	"[""aroG"", ""b0754"", ""ECK0743""]"	785633.0	786685.0	+	"[""EG10079_RNA""]"	False
EG10080	aroH	"[""aroH"", ""b1704"", ""ECK1702""]"	1788435.0	1789481.0	+	"[""EG10080_RNA""]"	False
EG10081	aroK	"[""aroK"", ""b3390"", ""ECK3377""]"	3518543.0	3519064.0	-	"[""EG10081_RNA""]"	False
EG10082	aroL	"[""aroL"", ""b0388"", ""ECK0383""]"	406405.0	406929.0	+	"[""EG10082_RNA""]"	False
EG10083	aroM	"[""aroM"", ""b0390"", ""ECK0385""]"	407428.0	408105.0	+	"[""EG10083_RNA""]"	False
EG10084	aroP	"[""aroP"", ""aroR"", ""b0112"", ""ECK0111""]"	120178.0	121551.0	-	"[""EG10084_RNA""]"	False
EG10085	ascB	"[""ascB"", ""sac"", ""b2716"", ""ECK2711""]"	2840990.0	2842414.0	+	"[""EG10085_RNA""]"	False
EG10086	ascF	"[""ascF"", ""sac"", ""b2715"", ""ECK2710""]"	2839524.0	2840981.0	+	"[""EG10086_RNA""]"	False
EG10087	ascG	"[""ascG"", ""sac"", ""b2714"", ""ECK2709""]"	2838254.0	2839264.0	-	"[""EG10087_RNA""]"	False
EG10088	asd	"[""asd"", ""dap"", ""hom"", ""b3433"", ""ECK3419""]"	3573775.0	3574878.0	-	"[""EG10088_RNA""]"	False
EG10089	aslA	"[""aslA"", ""gppB"", ""atsA"", ""b3801"", ""ECK3794""]"	3984352.0	3986007.0	-	"[""EG10089_RNA""]"	False
EG10090	aslB	"[""aslB"", ""gppB"", ""atsB"", ""b3800"", ""ECK3793""]"	3982958.0	3984193.0	+	"[""EG10090_RNA""]"	False
EG10091	asnA	"[""asnA"", ""b3744"", ""ECK3738""]"	3927155.0	3928147.0	+	"[""EG10091_RNA""]"	False
EG10092	asnB	"[""asnB"", ""b0674"", ""ECK0662""]"	697513.0	699177.0	-	"[""EG10092_RNA""]"	False
EG10093	asnC	"[""asnC"", ""b3743"", ""ECK3737""]"	3926545.0	3927003.0	-	"[""EG10093_RNA""]"	False
EG10094	asnS	"[""asnS"", ""lcs"", ""tss"", ""b0930"", ""ECK0921""]"	987585.0	988985.0	-	"[""EG10094_RNA""]"	False
EG10095	aspA	"[""aspA"", ""b4139"", ""ECK4133""]"	4366891.0	4368327.0	-	"[""EG10095_RNA""]"	False
EG10096	aspC	"[""aspC"", ""b0928"", ""ECK0919""]"	984519.0	985709.0	-	"[""EG10096_RNA""]"	False
EG10097	aspS	"[""aspS"", ""tls"", ""b1866"", ""ECK1867""]"	1948750.0	1950522.0	-	"[""EG10097_RNA""]"	False
EG10098	atpA	"[""atpA"", ""papA"", ""uncA"", ""b3734"", ""ECK3727""]"	3918316.0	3919857.0	-	"[""EG10098_RNA""]"	False
EG10099	atpB	"[""atpB"", ""papD"", ""uncB"", ""b3738"", ""ECK3731""]"	3921236.0	3922051.0	-	"[""EG10099_RNA""]"	False
EG10100	atpC	"[""atpC"", ""papG"", ""uncC"", ""b3731"", ""ECK3724""]"	3915553.0	3915972.0	-	"[""EG10100_RNA""]"	False
EG10101	atpD	"[""atpD"", ""papB"", ""uncD"", ""b3732"", ""ECK3725""]"	3915993.0	3917375.0	-	"[""EG10101_RNA""]"	False
EG10102	atpE	"[""atpE"", ""papH"", ""uncE"", ""b3737"", ""ECK3730""]"	3920950.0	3921189.0	-	"[""EG10102_RNA""]"	False
EG10103	atpF	"[""atpF"", ""papF"", ""uncF"", ""b3736"", ""ECK3729""]"	3920418.0	3920888.0	-	"[""EG10103_RNA""]"	False
EG10104	atpG	"[""atpG"", ""papC"", ""uncG"", ""b3733"", ""ECK3726""]"	3917402.0	3918265.0	-	"[""EG10104_RNA""]"	False
EG10105	atpH	"[""atpH"", ""papE"", ""uncH"", ""b3735"", ""ECK3728""]"	3919870.0	3920403.0	-	"[""EG10105_RNA""]"	False
EG10106	atpI	"[""atpI"", ""uncI"", ""b3739"", ""ECK3732""]"	3922060.0	3922440.0	-	"[""EG10106_RNA""]"	False
EG10107	avtA	"[""avtA"", ""b3572"", ""ECK3561""]"	3739705.0	3740958.0	+	"[""EG10107_RNA""]"	False
EG10108	bcp	"[""bcp"", ""b2480"", ""ECK2476""]"	2600478.0	2600948.0	+	"[""EG10108_RNA""]"	False
EG10109	betA	"[""betA"", ""b0311"", ""ECK0309""]"	325577.0	327247.0	-	"[""EG10109_RNA""]"	False
EG10110	betB	"[""betB"", ""b0312"", ""ECK0310""]"	327261.0	328733.0	-	"[""EG10110_RNA""]"	False
EG10111	betI	"[""betI"", ""b0313"", ""ECK0311""]"	328747.0	329334.0	-	"[""EG10111_RNA""]"	False
EG10112	betT	"[""betT"", ""b0314"", ""ECK0312""]"	329463.0	331496.0	+	"[""EG10112_RNA""]"	False
EG10113	bfr	"[""bfr"", ""b3336"", ""ECK3323""]"	3466249.0	3466725.0	-	"[""EG10113_RNA""]"	False
EG10114	bglB	"[""bglB"", ""blgA"", ""b3721"", ""ECK3714""]"	3902289.0	3903701.0	-	"[""EG10114_RNA""]"	False
EG10115	bglF	"[""bglF"", ""bglS"", ""b3722"", ""ECK3715""]"	3903720.0	3905597.0	-	"[""EG10115_RNA""]"	False
EG10116	bglG	"[""bglG"", ""bglC"", ""b3723"", ""ECK3716""]"	3905731.0	3906567.0	-	"[""EG10116_RNA""]"	False
EG10117	bioA	"[""bioA"", ""b0774"", ""ECK0763""]"	807968.0	809257.0	-	"[""EG10117_RNA""]"	False
EG10118	bioB	"[""bioB"", ""b0775"", ""ECK0764""]"	809344.0	810384.0	+	"[""EG10118_RNA""]"	False
EG10119	bioC	"[""bioC"", ""b0777"", ""ECK0766""]"	811522.0	812277.0	+	"[""EG10119_RNA""]"	False
EG10120	bioD	"[""bioD"", ""b0778"", ""ECK0767""]"	812270.0	812947.0	+	"[""EG10120_RNA""]"	False
EG10121	bioF	"[""bioF"", ""b0776"", ""ECK0765""]"	810381.0	811535.0	+	"[""EG10121_RNA""]"	False
EG10122	bioH	"[""bioH"", ""bioB"", ""b3412"", ""ECK3399""]"	3544074.0	3544844.0	-	"[""EG10122_RNA""]"	False
EG10123	birA	"[""birA"", ""bioR"", ""dhbB"", ""b3973"", ""ECK3965""]"	4173082.0	4174047.0	+	"[""EG10123_RNA""]"	False
EG10124	bisC	"[""bisC"", ""b3551"", ""ECK3538""]"	3714061.0	3716394.0	-	"[""EG10124_RNA""]"	False
EG10125	bolA	"[""bolA"", ""b0435"", ""ECK0429""]"	454472.0	454789.0	+	"[""EG10125_RNA""]"	False
EG10126	btuB	"[""btuB"", ""bfe"", ""cer"", ""b3966"", ""ECK3958""]"	4163639.0	4165483.0	+	"[""EG10126_RNA""]"	False
EG10127	btuC	"[""btuC"", ""b1711"", ""ECK1709""]"	1794172.0	1795152.0	-	"[""EG10127_RNA""]"	False
EG10128	btuD	"[""btuD"", ""b1709"", ""ECK1707""]"	1792809.0	1793558.0	-	"[""EG10128_RNA""]"	False
EG10129	btuE	"[""btuE"", ""b1710"", ""ECK1708""]"	1793558.0	1794109.0	-	"[""EG10129_RNA""]"	False
EG10130	btuR	"[""btuR"", ""cobA"", ""b1270"", ""ECK1264""]"	1327767.0	1328357.0	-	"[""EG10130_RNA""]"	False
EG10131	cadA	"[""cadA"", ""ldcI"", ""b4131"", ""ECK4125""]"	4356470.0	4358617.0	-	"[""EG10131_RNA""]"	False
EG10132	cadB	"[""cadB"", ""b4132"", ""ECK4126""]"	4358697.0	4360031.0	-	"[""EG10132_RNA""]"	False
EG10133	cadC	"[""cadC"", ""b4133"", ""ECK4127""]"	4360396.0	4361934.0	-	"[""EG10133_RNA""]"	False
EG10134	carA	"[""carA"", ""arg"", ""pyrA"", ""b0032"", ""ECK0033""]"	29651.0	30799.0	+	"[""EG10134_RNA""]"	False
EG10135	carB	"[""carB"", ""pyrA"", ""b0033"", ""ECK0034""]"	30817.0	34038.0	+	"[""EG10135_RNA""]"	False
EG10136	cca	"[""cca"", ""b3056"", ""ECK3046""]"	3201891.0	3203129.0	+	"[""EG10136_RNA""]"	False
EG10137	cdd	"[""cdd"", ""b2143"", ""ECK2136""]"	2231844.0	2232728.0	+	"[""EG10137_RNA""]"	False
EG10138	cdh	"[""cdh"", ""b3918"", ""ECK3910""]"	4109930.0	4110685.0	+	"[""EG10138_RNA""]"	False
EG10139	cdsA	"[""cdsA"", ""cds"", ""b0175"", ""ECK0174""]"	195677.0	196534.0	+	"[""EG10139_RNA""]"	False
EG10140	chbB	"[""chbB"", ""celA"", ""b1738"", ""ECK1736""]"	1821299.0	1821619.0	-	"[""EG10140_RNA""]"	False
EG10141	chbC	"[""chbC"", ""celB"", ""hic"", ""b1737"", ""ECK1735""]"	1819856.0	1821214.0	-	"[""EG10141_RNA""]"	False
EG10142	chbA	"[""chbA"", ""celC"", ""b1736"", ""ECK1734""]"	1819455.0	1819805.0	-	"[""EG10142_RNA""]"	False
EG10143	chbR	"[""chbR"", ""celD"", ""b1735"", ""ECK1733""]"	1818605.0	1819447.0	-	"[""EG10143_RNA""]"	False
EG10144	chbF	"[""chbF"", ""ydjD"", ""celF"", ""b1734"", ""ECK1732""]"	1817148.0	1818500.0	-	"[""EG10144_RNA""]"	False
EG10145	creD	"[""creD"", ""refII"", ""cet"", ""b4400"", ""ECK4392""]"	4638178.0	4639530.0	+	"[""EG10145_RNA""]"	False
EG10146	cheA	"[""cheA"", ""b1888"", ""ECK1889""]"	1973360.0	1975324.0	-	"[""EG10146_RNA""]"	False
EG10147	cheB	"[""cheB"", ""b1883"", ""ECK1884""]"	1967452.0	1968501.0	-	"[""EG10147_RNA""]"	False
EG10148	cheR	"[""cheR"", ""cheX"", ""b1884"", ""ECK1885""]"	1968504.0	1969364.0	-	"[""EG10148_RNA""]"	False
EG10149	cheW	"[""cheW"", ""b1887"", ""ECK1888""]"	1972836.0	1973339.0	-	"[""EG10149_RNA""]"	False
EG10150	cheY	"[""cheY"", ""b1882"", ""ECK1883""]"	1967048.0	1967437.0	-	"[""EG10150_RNA""]"	False
EG10151	cheZ	"[""cheZ"", ""b1881"", ""ECK1882""]"	1966393.0	1967037.0	-	"[""EG10151_RNA""]"	False
EG10152	modC	"[""modC"", ""chlD"", ""narD"", ""b0765"", ""ECK0754""]"	796554.0	797612.0	+	"[""EG10152_RNA""]"	False
EG10153	moeA	"[""moeA"", ""bisB"", ""chlE"", ""narE"", ""b0827"", ""ECK0817""]"	865129.0	866364.0	-	"[""EG10153_RNA""]"	False
EG10154	moeB	"[""moeB"", ""chlN"", ""b0826"", ""ECK0816""]"	864380.0	865129.0	-	"[""EG10154_RNA""]"	False
EG10155	cirA	"[""cirA"", ""cir"", ""feuA"", ""b2155"", ""ECK2148""]"	2244778.0	2246769.0	-	"[""EG10155_RNA""]"	False
EG10156	clpA	"[""clpA"", ""lopD"", ""b0882"", ""ECK0873""]"	923264.0	925540.0	+	"[""EG10156_RNA""]"	False
EG10157	clpB	"[""clpB"", ""htpM"", ""b2592"", ""ECK2590""]"	2731600.0	2734173.0	-	"[""EG10157_RNA""]"	False
EG10158	clpP	"[""clpP"", ""lopP"", ""b0437"", ""ECK0431""]"	456677.0	457300.0	+	"[""EG10158_RNA""]"	False
EG10159	clpX	"[""clpX"", ""lopC"", ""b0438"", ""ECK0432""]"	457426.0	458700.0	+	"[""EG10159_RNA""]"	False
EG10160	cpdB	"[""cpdB"", ""b4213"", ""ECK4209""]"	4434622.0	4436565.0	-	"[""EG10160_RNA""]"	False
EG10161	cpsB	"[""cpsB"", ""rfbM"", ""manC"", ""mni"", ""b2049"", ""ECK2043""]"	2123084.0	2124520.0	-	"[""EG10161_RNA""]"	False
EG10162	cpsG	"[""cpsG"", ""rfbK"", ""manB"", ""b2048"", ""ECK2042""]"	2121609.0	2122979.0	-	"[""EG10162_RNA""]"	False
EG10163	cpxA	"[""cpxA"", ""rssE"", ""ecfB"", ""eup"", ""ssd"", ""ecf"", ""b3911"", ""ECK3904""]"	4103602.0	4104975.0	-	"[""EG10163_RNA""]"	False
EG10164	crp	"[""crp"", ""cap"", ""csm"", ""gurB"", ""b3357"", ""ECK3345""]"	3486120.0	3486752.0	+	"[""EG10164_RNA""]"	False
EG10165	crr	"[""crr"", ""treD"", ""gsr"", ""iex"", ""tgs"", ""b2417"", ""ECK2412""]"	2535834.0	2536343.0	+	"[""EG10165_RNA""]"	False
EG10166	cspA	"[""cspA"", ""b3556"", ""ECK3543""]"	3720049.0	3720261.0	+	"[""EG10166_RNA""]"	False
EG10167	cstA	"[""cstA"", ""ybdC"", ""b0598"", ""ECK0591""]"	629894.0	631999.0	+	"[""EG10167_RNA""]"	False
EG10168	lnt	"[""lnt"", ""cutE"", ""b0657"", ""ECK0649""]"	689343.0	690881.0	-	"[""EG10168_RNA""]"	False
EG10169	cvpA	"[""cvpA"", ""dedE"", ""b2313"", ""ECK2307""]"	2430275.0	2430763.0	-	"[""EG10169_RNA""]"	False
EG10170	cyaA	"[""cyaA"", ""cya"", ""b3806"", ""ECK3800""]"	3991153.0	3993699.0	+	"[""EG10170_RNA""]"	False
EG10172	cybB	"[""cybB"", ""b1418"", ""ECK1410""]"	1490902.0	1491432.0	+	"[""EG10172_RNA""]"	False
EG10173	cydA	"[""cydA"", ""cyd-1"", ""b0733"", ""ECK0721""]"	771458.0	773026.0	+	"[""EG10173_RNA""]"	False
EG10174	cydB	"[""cydB"", ""cyd-2"", ""b0734"", ""ECK0722""]"	773042.0	774181.0	+	"[""EG10174_RNA""]"	False
EG10175	cynS	"[""cynS"", ""cnt"", ""cyaN"", ""b0340"", ""ECK0337""]"	359489.0	359959.0	+	"[""EG10175_RNA""]"	False
EG10176	cynT	"[""cynT"", ""b0339"", ""ECK0336""]"	358799.0	359458.0	+	"[""EG10176_RNA""]"	False
EG10177	cynX	"[""cynX"", ""b0341"", ""ECK0338""]"	359992.0	361146.0	+	"[""EG10177_RNA""]"	False
EG10178	cyoA	"[""cyoA"", ""b0432"", ""ECK0426""]"	450663.0	451610.0	-	"[""EG10178_RNA""]"	False
EG10179	cyoB	"[""cyoB"", ""b0431"", ""ECK0425""]"	448650.0	450641.0	-	"[""EG10179_RNA""]"	False
EG10180	cyoC	"[""cyoC"", ""b0430"", ""ECK0424""]"	448046.0	448660.0	-	"[""EG10180_RNA""]"	False
EG10181	cyoD	"[""cyoD"", ""b0429"", ""ECK0423""]"	447717.0	448046.0	-	"[""EG10181_RNA""]"	False
EG10182	cyoE	"[""cyoE"", ""b0428"", ""ECK0422""]"	446815.0	447705.0	-	"[""EG10182_RNA""]"	False
EG10183	cysA	"[""cysA"", ""b2422"", ""ECK2417""]"	2539717.0	2540814.0	-	"[""EG10183_RNA""]"	False
EG10184	cysB	"[""cysB"", ""b1275"", ""ECK1269""]"	1333855.0	1334829.0	+	"[""EG10184_RNA""]"	False
EG10185	cysC	"[""cysC"", ""b2750"", ""ECK2745""]"	2873387.0	2873992.0	-	"[""EG10185_RNA""]"	False
EG10186	cysD	"[""cysD"", ""b2752"", ""ECK2747""]"	2875421.0	2876329.0	-	"[""EG10186_RNA""]"	False
EG10187	cysE	"[""cysE"", ""b3607"", ""ECK3597""]"	3781741.0	3782562.0	-	"[""EG10187_RNA""]"	False
EG10188	cysG	"[""cysG"", ""b3368"", ""ECK3356""]"	3497828.0	3499201.0	+	"[""EG10188_RNA""]"	False
EG10189	cysH	"[""cysH"", ""b2762"", ""ECK2757""]"	2887578.0	2888312.0	-	"[""EG10189_RNA""]"	False
EG10190	cysI	"[""cysI"", ""b2763"", ""ECK2758""]"	2888387.0	2890099.0	-	"[""EG10190_RNA""]"	False
EG10191	cysJ	"[""cysJ"", ""b2764"", ""ECK2759""]"	2890099.0	2891898.0	-	"[""EG10191_RNA""]"	False
EG10192	cysK	"[""cysK"", ""ssi5"", ""b2414"", ""ECK2409""]"	2532409.0	2533380.0	+	"[""EG10192_RNA""]"	False
EG10193	cysM	"[""cysM"", ""b2421"", ""ECK2416""]"	2538672.0	2539583.0	-	"[""EG10193_RNA""]"	False
EG10194	cysN	"[""cysN"", ""b2751"", ""ECK2746""]"	2873992.0	2875419.0	-	"[""EG10194_RNA""]"	False
EG10195	cysP	"[""cysP"", ""b2425"", ""ECK2420""]"	2542512.0	2543528.0	-	"[""EG10195_RNA""]"	False
EG10196	cysS	"[""cysS"", ""syc"", ""b0526"", ""ECK0519""]"	554611.0	555996.0	+	"[""EG10196_RNA""]"	False
EG10197	cysU	"[""cysU"", ""cysT"", ""b2424"", ""ECK2419""]"	2541679.0	2542512.0	-	"[""EG10197_RNA""]"	False
EG10198	cysW	"[""cysW"", ""b2423"", ""ECK2418""]"	2540804.0	2541679.0	-	"[""EG10198_RNA""]"	False
EG10200	cytR	"[""cytR"", ""b3934"", ""ECK3926""]"	4123431.0	4124456.0	-	"[""EG10200_RNA""]"	False
EG10201	dacA	"[""dacA"", ""pfv"", ""b0632"", ""ECK0625""]"	662752.0	663963.0	-	"[""EG10201_RNA""]"	False
EG10202	dacB	"[""dacB"", ""b3182"", ""ECK3171""]"	3328963.0	3330396.0	+	"[""EG10202_RNA""]"	False
EG10203	dacC	"[""dacC"", ""b0839"", ""ECK0829""]"	880727.0	881929.0	+	"[""EG10203_RNA""]"	False
