gene_id,gene_symbol,synonyms,left_end_pos,right_end_pos,direction,rna_ids,rna_type,monomer_ids,is_single_gene_operon,operon_size,tu_id,other_genes_in_operon,operon_partner_count
EG10065,argC,"[""argC"", ""Arg2"", ""b3958"", ""ECK3949""]",4155001.0,4156005.0,+,"[""EG10065_RNA""]",mRNA,"[""N-ACETYLGLUTPREDUCT-MONOMER""]",False,3.0,TU00004[c],"EG10064,EG11223",2
EG10066,argD,"[""argD"", ""Arg1"", ""dapC"", ""dtu"", ""b3359"", ""ECK3347""]",3488960.0,3490180.0,-,"[""EG10066_RNA""]",mRNA,"[""ACETYLORNTRANSAM-MONOMER""]",True,1.0,TU00111[c],,0
EG10068,argG,"[""argG"", ""b3172"", ""ECK3161""]",3318637.0,3319980.0,+,"[""EG10068_RNA""]",mRNA,"[""ARGSUCCINSYN-MONOMER""]",True,1.0,TU0-5501[c],,0
EG10069,argI,"[""argI"", ""b4254"", ""ECK4247""]",4477307.0,4478311.0,-,"[""EG10069_RNA""]",mRNA,"[""CHAINI-MONOMER""]",True,1.0,TU00006[c],,0
EG10070,argR,"[""argR"", ""Rarg"", ""xerA"", ""b3237"", ""ECK3226""]",3384703.0,3385173.0,+,"[""EG10070_RNA""]",mRNA,"[""PD00194""]",True,1.0,TU0-3501[c],,0
EG10071,argS,"[""argS"", ""lov"", ""lov-1"", ""b1876"", ""ECK1877""]",1960062.0,1961795.0,+,"[""EG10071_RNA""]",mRNA,"[""ARGS-MONOMER""]",True,1.0,TU0-13444[c],,0
EG10072,argT,"[""argT"", ""b2310"", ""ECK2304""]",2427009.0,2427791.0,-,"[""EG10072_RNA""]",mRNA,"[""ARGT-MONOMER""]",False,5.0,TU0-3581[c],"EG10007,EG10452,EG12124,EG12125",4
EG10073,aroA,"[""aroA"", ""b0908"", ""ECK0899""]",958812.0,960095.0,+,"[""EG10073_RNA""]",mRNA,"[""AROA-MONOMER""]",False,2.0,TU00357[c],EG10946,1
EG10074,aroB,"[""aroB"", ""b3389"", ""ECK3376""]",3517398.0,3518486.0,-,"[""EG10074_RNA""]",mRNA,"[""AROB-MONOMER""]",False,7.0,TU872[c],"EG10081,EG10204,EG11030,EG11183,EG11871,M004",6
EG10075,aroC,"[""aroC"", ""b2329"", ""ECK2323""]",2446388.0,2447473.0,-,"[""EG10075_RNA""]",mRNA,"[""AROC-MONOMER""]",False,6.0,TU0-13593[c],"EG10580,EG11144,EG12449,G7200,G7201",5
EG10076,aroD,"[""aroD"", ""b1693"", ""ECK1691""]",1774686.0,1775444.0,+,"[""EG10076_RNA""]",mRNA,"[""AROD-MONOMER""]",False,3.0,TU0-13373[c],"EG11234,G6917",2
EG10077,aroE,"[""aroE"", ""b3281"", ""ECK3268""]",3430020.0,3430838.0,-,"[""EG10077_RNA""]",mRNA,"[""AROE-MONOMER""]",False,4.0,TU0-7281[c],"G7697,G7698,G7699",3
EG10078,aroF,"[""aroF"", ""b2601"", ""ECK2598""]",2740080.0,2741150.0,-,"[""EG10078_RNA""]",mRNA,"[""AROF-MONOMER""]",False,2.0,TU00008[c],EG11039,1
EG10079,aroG,"[""aroG"", ""b0754"", ""ECK0743""]",785633.0,786685.0,+,"[""EG10079_RNA""]",mRNA,"[""AROG-MONOMER""]",True,1.0,TU00009[c],,0
EG10080,aroH,"[""aroH"", ""b1704"", ""ECK1702""]",1788435.0,1789481.0,+,"[""EG10080_RNA""]",mRNA,"[""AROH-MONOMER""]",True,1.0,TU0-14254[c],,0
EG10081,aroK,"[""aroK"", ""b3390"", ""ECK3377""]",3518543.0,3519064.0,-,"[""EG10081_RNA""]",mRNA,"[""AROK-MONOMER""]",False,7.0,TU872[c],"EG10074,EG10204,EG11030,EG11183,EG11871,M004",6
EG10082,aroL,"[""aroL"", ""b0388"", ""ECK0383""]",406405.0,406929.0,+,"[""EG10082_RNA""]",mRNA,"[""AROL-MONOMER""]",False,3.0,TU0-42568[c],"EG10083,EG11093",2
EG10084,aroP,"[""aroP"", ""aroR"", ""b0112"", ""ECK0111""]",120178.0,121551.0,-,"[""EG10084_RNA""]",mRNA,"[""AROP-MONOMER""]",True,1.0,TU00012[c],,0
EG10088,asd,"[""asd"", ""dap"", ""hom"", ""b3433"", ""ECK3419""]",3573775.0,3574878.0,-,"[""EG10088_RNA""]",mRNA,"[""ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER""]",True,1.0,TU0-13935[c],,0
EG10091,asnA,"[""asnA"", ""b3744"", ""ECK3738""]",3927155.0,3928147.0,+,"[""EG10091_RNA""]",mRNA,"[""ASNSYNA-MONOMER""]",True,1.0,TU00112[c],,0
EG10092,asnB,"[""asnB"", ""b0674"", ""ECK0662""]",697513.0,699177.0,-,"[""EG10092_RNA""]",mRNA,"[""ASNSYNB-MONOMER""]",True,1.0,TU0-4929[c],,0
EG10094,asnS,"[""asnS"", ""lcs"", ""tss"", ""b0930"", ""ECK0921""]",987585.0,988985.0,-,"[""EG10094_RNA""]",mRNA,"[""ASNS-MONOMER""]",True,1.0,TU0-13093[c],,0
EG10095,aspA,"[""aspA"", ""b4139"", ""ECK4133""]",4366891.0,4368327.0,-,"[""EG10095_RNA""]",mRNA,"[""ASPARTASE-MONOMER""]",False,2.0,TU0-6021[c],EG11225,1
EG10096,aspC,"[""aspC"", ""b0928"", ""ECK0919""]",984519.0,985709.0,-,"[""EG10096_RNA""]",mRNA,"[""ASPAMINOTRANS-MONOMER""]",True,1.0,TU0-6482[c],,0
EG10097,aspS,"[""aspS"", ""tls"", ""b1866"", ""ECK1867""]",1948750.0,1950522.0,-,"[""EG10097_RNA""]",mRNA,"[""ASPS-MONOMER""]",True,1.0,TU0-14634[c],,0
EG10098,atpA,"[""atpA"", ""papA"", ""uncA"", ""b3734"", ""ECK3727""]",3918316.0,3919857.0,-,"[""EG10098_RNA""]",mRNA,"[""ATPA-MONOMER""]",False,8.0,TU0-6635[c],"EG10099,EG10100,EG10101,EG10102,EG10103,EG10104,EG10105",7
EG10099,atpB,"[""atpB"", ""papD"", ""uncB"", ""b3738"", ""ECK3731""]",3921236.0,3922051.0,-,"[""EG10099_RNA""]",mRNA,"[""ATPB-MONOMER""]",False,8.0,TU0-6635[c],"EG10098,EG10100,EG10101,EG10102,EG10103,EG10104,EG10105",7
EG10100,atpC,"[""atpC"", ""papG"", ""uncC"", ""b3731"", ""ECK3724""]",3915553.0,3915972.0,-,"[""EG10100_RNA""]",mRNA,"[""ATPC-MONOMER""]",False,8.0,TU0-6635[c],"EG10098,EG10099,EG10101,EG10102,EG10103,EG10104,EG10105",7
EG10101,atpD,"[""atpD"", ""papB"", ""uncD"", ""b3732"", ""ECK3725""]",3915993.0,3917375.0,-,"[""EG10101_RNA""]",mRNA,"[""ATPD-MONOMER""]",False,8.0,TU0-6635[c],"EG10098,EG10099,EG10100,EG10102,EG10103,EG10104,EG10105",7
EG10102,atpE,"[""atpE"", ""papH"", ""uncE"", ""b3737"", ""ECK3730""]",3920950.0,3921189.0,-,"[""EG10102_RNA""]",mRNA,"[""ATPE-MONOMER""]",False,8.0,TU0-6635[c],"EG10098,EG10099,EG10100,EG10101,EG10103,EG10104,EG10105",7
EG10103,atpF,"[""atpF"", ""papF"", ""uncF"", ""b3736"", ""ECK3729""]",3920418.0,3920888.0,-,"[""EG10103_RNA""]",mRNA,"[""ATPF-MONOMER""]",False,8.0,TU0-6635[c],"EG10098,EG10099,EG10100,EG10101,EG10102,EG10104,EG10105",7
EG10104,atpG,"[""atpG"", ""papC"", ""uncG"", ""b3733"", ""ECK3726""]",3917402.0,3918265.0,-,"[""EG10104_RNA""]",mRNA,"[""ATPG-MONOMER""]",False,8.0,TU0-6635[c],"EG10098,EG10099,EG10100,EG10101,EG10102,EG10103,EG10105",7
EG10105,atpH,"[""atpH"", ""papE"", ""uncH"", ""b3735"", ""ECK3728""]",3919870.0,3920403.0,-,"[""EG10105_RNA""]",mRNA,"[""ATPH-MONOMER""]",False,8.0,TU0-6635[c],"EG10098,EG10099,EG10100,EG10101,EG10102,EG10103,EG10104",7
EG10107,avtA,"[""avtA"", ""b3572"", ""ECK3561""]",3739705.0,3740958.0,+,"[""EG10107_RNA""]",mRNA,"[""VALINE-PYRUVATE-AMINOTRANSFER-MONOMER""]",True,1.0,TU0-13984[c],,0
EG10109,betA,"[""betA"", ""b0311"", ""ECK0309""]",325577.0,327247.0,-,"[""EG10109_RNA""]",mRNA,"[""CHD-MONOMER""]",False,3.0,TU00115[c],"EG10110,EG10111",2
EG10110,betB,"[""betB"", ""b0312"", ""ECK0310""]",327261.0,328733.0,-,"[""EG10110_RNA""]",mRNA,"[""BADH-MONOMER""]",False,3.0,TU00115[c],"EG10109,EG10111",2
EG10112,betT,"[""betT"", ""b0314"", ""ECK0312""]",329463.0,331496.0,+,"[""EG10112_RNA""]",mRNA,"[""BETT-MONOMER""]",True,1.0,TU00116[c],,0
EG10115,bglF,"[""bglF"", ""bglS"", ""b3722"", ""ECK3715""]",3903720.0,3905597.0,-,"[""EG10115_RNA""]",mRNA,"[""BGLF-MONOMER""]",False,3.0,TU0-4802[c],"EG10114,EG10116",2
EG10117,bioA,"[""bioA"", ""b0774"", ""ECK0763""]",807968.0,809257.0,-,"[""EG10117_RNA""]",mRNA,"[""DAPASYN-MONOMER""]",True,1.0,TU00013[c],,0
EG10118,bioB,"[""bioB"", ""b0775"", ""ECK0764""]",809344.0,810384.0,+,"[""EG10118_RNA""]",mRNA,"[""BIOTIN-SYN-MONOMER""]",False,4.0,TU00117[c],"EG10119,EG10120,EG10121",3
EG10119,bioC,"[""bioC"", ""b0777"", ""ECK0766""]",811522.0,812277.0,+,"[""EG10119_RNA""]",mRNA,"[""EG10119-MONOMER""]",False,4.0,TU00117[c],"EG10118,EG10120,EG10121",3
EG10120,bioD,"[""bioD"", ""b0778"", ""ECK0767""]",812270.0,812947.0,+,"[""EG10120_RNA""]",mRNA,"[""DETHIOBIOTIN-SYN-MONOMER""]",False,4.0,TU00117[c],"EG10118,EG10119,EG10121",3
EG10121,bioF,"[""bioF"", ""b0776"", ""ECK0765""]",810381.0,811535.0,+,"[""EG10121_RNA""]",mRNA,"[""7KAPSYN-MONOMER""]",False,4.0,TU00117[c],"EG10118,EG10119,EG10120",3
EG10122,bioH,"[""bioH"", ""bioB"", ""b3412"", ""ECK3399""]",3544074.0,3544844.0,-,"[""EG10122_RNA""]",mRNA,"[""EG10122-MONOMER""]",True,1.0,TU0-8772[c],,0
EG10123,birA,"[""birA"", ""bioR"", ""dhbB"", ""b3973"", ""ECK3965""]",4173082.0,4174047.0,+,"[""EG10123_RNA""]",mRNA,"[""BIOTINLIG-MONOMER""]",False,2.0,TU0-14099[c],EG11205,1
EG10124,bisC,"[""bisC"", ""b3551"", ""ECK3538""]",3714061.0,3716394.0,-,"[""EG10124_RNA""]",mRNA,"[""EG10124-MONOMER""]",True,1.0,TU0-8773[c],,0
EG10131,cadA,"[""cadA"", ""ldcI"", ""b4131"", ""ECK4125""]",4356470.0,4358617.0,-,"[""EG10131_RNA""]",mRNA,"[""LYSDECARBOX-MONOMER""]",True,1.0,TU0-14513[c],,0
EG10132,cadB,"[""cadB"", ""b4132"", ""ECK4126""]",4358697.0,4360031.0,-,"[""EG10132_RNA""]",mRNA,"[""CADB-MONOMER""]",False,2.0,TU00467[c],EG10131,1
EG10134,carA,"[""carA"", ""arg"", ""pyrA"", ""b0032"", ""ECK0033""]",29651.0,30799.0,+,"[""EG10134_RNA""]",mRNA,"[""CARBPSYN-SMALL""]",False,2.0,TU00109[c],EG10135,1
EG10135,carB,"[""carB"", ""pyrA"", ""b0033"", ""ECK0034""]",30817.0,34038.0,+,"[""EG10135_RNA""]",mRNA,"[""CARBPSYN-LARGE""]",True,1.0,TU0-6884[c],,0
EG10137,cdd,"[""cdd"", ""b2143"", ""ECK2136""]",2231844.0,2232728.0,+,"[""EG10137_RNA""]",mRNA,"[""CYTIDEAM-MONOMER""]",True,1.0,TU841[c],,0
EG10138,cdh,"[""cdh"", ""b3918"", ""ECK3910""]",4109930.0,4110685.0,+,"[""EG10138_RNA""]",mRNA,"[""CDPDIGLYPYPHOSPHA-MONOMER""]",True,1.0,TU0-6485[c],,0
EG10139,cdsA,"[""cdsA"", ""cds"", ""b0175"", ""ECK0174""]",195677.0,196534.0,+,"[""EG10139_RNA""]",mRNA,"[""CDPDIGLYSYN-MONOMER""]",False,3.0,TU0-12831[c],"EG12715,G6092",2
EG10148,cheR,"[""cheR"", ""cheX"", ""b1884"", ""ECK1885""]",1968504.0,1969364.0,-,"[""EG10148_RNA""]",mRNA,"[""CHER-MONOMER""]",False,6.0,TU0-1547[c],"EG10147,EG10150,EG10151,EG10987,EG10988",5
EG10161,cpsB,"[""cpsB"", ""rfbM"", ""manC"", ""mni"", ""b2049"", ""ECK2043""]",2123084.0,2124520.0,-,"[""EG10161_RNA""]",mRNA,"[""MANNPGUANYLTRANGDP-MONOMER""]",False,12.0,TU0-13499[c],"EG10162,EG11787,EG11788,EG11789,EG11790,G7097,G7098,G7099,G7100,G7101,G7102",11
EG10162,cpsG,"[""cpsG"", ""rfbK"", ""manB"", ""b2048"", ""ECK2042""]",2121609.0,2122979.0,-,"[""EG10162_RNA""]",mRNA,"[""PHOSMANMUT-MONOMER""]",False,12.0,TU0-13499[c],"EG10161,EG11787,EG11788,EG11789,EG11790,G7097,G7098,G7099,G7100,G7101,G7102",11
EG10164,crp,"[""crp"", ""cap"", ""csm"", ""gurB"", ""b3357"", ""ECK3345""]",3486120.0,3486752.0,+,"[""EG10164_RNA""]",mRNA,"[""PD00257""]",True,1.0,TU0-14396[c],,0
EG10178,cyoA,"[""cyoA"", ""b0432"", ""ECK0426""]",450663.0,451610.0,-,"[""EG10178_RNA""]",mRNA,"[""CYOA-MONOMER""]",False,5.0,TU00101[c],"EG10179,EG10180,EG10181,EG10182",4
EG10182,cyoE,"[""cyoE"", ""b0428"", ""ECK0422""]",446815.0,447705.0,-,"[""EG10182_RNA""]",mRNA,"[""HEMEOSYN-MONOMER""]",False,5.0,TU00101[c],"EG10178,EG10179,EG10180,EG10181",4
EG10183,cysA,"[""cysA"", ""b2422"", ""ECK2417""]",2539717.0,2540814.0,-,"[""EG10183_RNA""]",mRNA,"[""CYSA-MONOMER""]",False,5.0,TU00144[c],"EG10193,EG10195,EG10197,EG10198",4
EG10185,cysC,"[""cysC"", ""b2750"", ""ECK2745""]",2873387.0,2873992.0,-,"[""EG10185_RNA""]",mRNA,"[""ADENYLYLSULFKIN-MONOMER""]",False,3.0,TU00146[c],"EG10186,EG10194",2
EG10186,cysD,"[""cysD"", ""b2752"", ""ECK2747""]",2875421.0,2876329.0,-,"[""EG10186_RNA""]",mRNA,"[""CYSD-MONOMER""]",False,3.0,TU00146[c],"EG10185,EG10194",2
EG10187,cysE,"[""cysE"", ""b3607"", ""ECK3597""]",3781741.0,3782562.0,-,"[""EG10187_RNA""]",mRNA,"[""SERINE-O-ACETTRAN-MONOMER""]",True,1.0,TU0-6501[c],,0
EG10188,cysG,"[""cysG"", ""b3368"", ""ECK3356""]",3497828.0,3499201.0,+,"[""EG10188_RNA""]",mRNA,"[""SIROHEMESYN-MONOMER""]",True,1.0,TU0-0[c],,0
EG10189,cysH,"[""cysH"", ""b2762"", ""ECK2757""]",2887578.0,2888312.0,-,"[""EG10189_RNA""]",mRNA,"[""PAPSSULFOTRANS-MONOMER""]",True,1.0,TU0-14511[c],,0
EG10190,cysI,"[""cysI"", ""b2763"", ""ECK2758""]",2888387.0,2890099.0,-,"[""EG10190_RNA""]",mRNA,"[""BETACOMP-MONOMER""]",False,3.0,TU00078[c],"EG10189,EG10191",2
EG10191,cysJ,"[""cysJ"", ""b2764"", ""ECK2759""]",2890099.0,2891898.0,-,"[""EG10191_RNA""]",mRNA,"[""ALPHACOMP-MONOMER""]",False,3.0,TU00078[c],"EG10189,EG10190",2
EG10192,cysK,"[""cysK"", ""ssi5"", ""b2414"", ""ECK2409""]",2532409.0,2533380.0,+,"[""EG10192_RNA""]",mRNA,"[""ACSERLYA-MONOMER""]",True,1.0,TU0-14642[c],,0
EG10193,cysM,"[""cysM"", ""b2421"", ""ECK2416""]",2538672.0,2539583.0,-,"[""EG10193_RNA""]",mRNA,"[""ACSERLYB-MONOMER""]",False,5.0,TU00144[c],"EG10183,EG10195,EG10197,EG10198",4
EG10194,cysN,"[""cysN"", ""b2751"", ""ECK2746""]",2873992.0,2875419.0,-,"[""EG10194_RNA""]",mRNA,"[""CYSN-MONOMER""]",False,3.0,TU00146[c],"EG10185,EG10186",2
EG10195,cysP,"[""cysP"", ""b2425"", ""ECK2420""]",2542512.0,2543528.0,-,"[""EG10195_RNA""]",mRNA,"[""CYSP-MONOMER""]",False,5.0,TU00144[c],"EG10183,EG10193,EG10197,EG10198",4
EG10196,cysS,"[""cysS"", ""syc"", ""b0526"", ""ECK0519""]",554611.0,555996.0,+,"[""EG10196_RNA""]",mRNA,"[""CYSS-MONOMER""]",True,1.0,TU0-8477[c],,0
EG10197,cysU,"[""cysU"", ""cysT"", ""b2424"", ""ECK2419""]",2541679.0,2542512.0,-,"[""EG10197_RNA""]",mRNA,"[""CYST-MONOMER""]",False,5.0,TU00144[c],"EG10183,EG10193,EG10195,EG10198",4
EG10198,cysW,"[""cysW"", ""b2423"", ""ECK2418""]",2540804.0,2541679.0,-,"[""EG10198_RNA""]",mRNA,"[""CYSW-MONOMER""]",False,5.0,TU00144[c],"EG10183,EG10193,EG10195,EG10197",4
EG10200,cytR,"[""cytR"", ""b3934"", ""ECK3926""]",4123431.0,4124456.0,-,"[""EG10200_RNA""]",mRNA,"[""PD04028""]",True,1.0,TU0-5961[c],,0
EG10205,dapA,"[""dapA"", ""b2478"", ""ECK2474""]",2598882.0,2599760.0,-,"[""EG10205_RNA""]",mRNA,"[""DIHYDRODIPICSYN-MONOMER""]",False,2.0,TU00256[c],EG10658,1
EG10206,dapB,"[""dapB"", ""b0031"", ""ECK0032""]",28374.0,29195.0,+,"[""EG10206_RNA""]",mRNA,"[""DIHYDROPICRED-MONOMER""]",True,1.0,TU0-14399[c],,0
EG10207,dapD,"[""dapD"", ""ssa"", ""b0166"", ""ECK0164""]",185123.0,185947.0,-,"[""EG10207_RNA""]",mRNA,"[""MONOMER0-2001""]",False,3.0,TU0-12827[c],"EG10570,EG11411",2
EG10208,dapE,"[""dapE"", ""msgB"", ""b2472"", ""ECK2467""]",2591607.0,2592734.0,+,"[""EG10208_RNA""]",mRNA,"[""MONOMER0-1981""]",False,3.0,TU0-13642[c],"EG11147,G0-10463",2
EG10209,dapF,"[""dapF"", ""b3809"", ""ECK3804""]",3994762.0,3995586.0,+,"[""EG10209_RNA""]",mRNA,"[""DIAMINOPIMEPIM-MONOMER""]",False,5.0,TU0-14042[c],"EG11069,EG11201,EG11202,G0-10471",4
EG10214,ddlB,"[""ddlB"", ""ddl"", ""b0092"", ""ECK0093""]",102233.0,103153.0,+,"[""EG10214_RNA""]",mRNA,"[""DALADALALIGB-MONOMER""]",True,1.0,EG10214_RNA[c],,0
EG10220,deoB,"[""deoB"", ""tlr"", ""drm"", ""thyR"", ""b4383"", ""ECK4375""]",4619603.0,4620826.0,+,"[""EG10220_RNA""]",mRNA,"[""PPENTOMUT-MONOMER""]",False,3.0,TU0-14537[c],"EG10219,EG10222",2
