gene_id,gene_symbol,synonyms,left_end_pos,right_end_pos,direction,rna_ids,rna_type,monomer_ids,is_single_gene_operon,operon_size,tu_id,other_genes_in_operon,operon_partner_count
EG10137,cdd,"[""cdd"", ""b2143"", ""ECK2136""]",2231844.0,2232728.0,+,"[""EG10137_RNA""]",mRNA,"[""CYTIDEAM-MONOMER""]",True,1.0,TU841[c],,0
EG10182,cyoE,"[""cyoE"", ""b0428"", ""ECK0422""]",446815.0,447705.0,-,"[""EG10182_RNA""]",mRNA,"[""HEMEOSYN-MONOMER""]",False,5.0,TU00101[c],"EG10178,EG10179,EG10180,EG10181",4
EG10188,cysG,"[""cysG"", ""b3368"", ""ECK3356""]",3497828.0,3499201.0,+,"[""EG10188_RNA""]",mRNA,"[""SIROHEMESYN-MONOMER""]",True,1.0,TU0-0[c],,0
EG10196,cysS,"[""cysS"", ""syc"", ""b0526"", ""ECK0519""]",554611.0,555996.0,+,"[""EG10196_RNA""]",mRNA,"[""CYSS-MONOMER""]",True,1.0,TU0-8477[c],,0
EG10361,gabT,"[""gabT"", ""b2662"", ""ECK2656""]",2792735.0,2794015.0,+,"[""EG10361_RNA""]",mRNA,"[""GABATRANSAM-MONOMER""]",False,3.0,TU0-1921[c],"EG11329,EG11330",2
EG10420,guaA,"[""guaA"", ""b2507"", ""ECK2503""]",2630958.0,2632535.0,-,"[""EG10420_RNA""]",mRNA,"[""GMP-SYN-MONOMER""]",False,2.0,TU00205[c],EG10421,1
EG10539,livJ,"[""livJ"", ""hrbD"", ""hrbC"", ""hrbB"", ""b3460"", ""ECK3444""]",3598555.0,3599658.0,-,"[""EG10539_RNA""]",mRNA,"[""LIVJ-MONOMER""]",True,1.0,TU00183[c],,0
EG10549,lysA,"[""lysA"", ""b2838"", ""ECK2836""]",2977637.0,2978899.0,-,"[""EG10549_RNA""]",mRNA,"[""DIAMINOPIMDECARB-MONOMER""]",True,1.0,TU00185[c],,0
EG10582,metB,"[""metB"", ""met-1"", ""b3939"", ""ECK3931""]",4128672.0,4129832.0,+,"[""EG10582_RNA""]",mRNA,"[""O-SUCCHOMOSERLYASE-MONOMER""]",False,2.0,TU0-3741[c],EG10590,1
EG10707,pheA,"[""pheA"", ""b2599"", ""ECK2596""]",2737745.0,2738905.0,+,"[""EG10707_RNA""]",mRNA,"[""CHORISMUTPREPHENDEHYDRAT-MONOMER""]",False,2.0,TU0-6653[c],EG11271,1
EG10759,ppsA,"[""ppsA"", ""pps"", ""b1702"", ""ECK1700""]",1784734.0,1787112.0,-,"[""EG10759_RNA""]",mRNA,"[""PEPSYNTH-MONOMER""]",True,1.0,TU00162[c],,0
EG10774,prs,"[""prs"", ""dnaR"", ""prsA"", ""b1207"", ""ECK1195""]",1260928.0,1261875.0,-,"[""EG10774_RNA""]",mRNA,"[""PRPPSYN-MONOMER""]",False,3.0,TU0-8323[c],"EG11293,EG11294",2
EG10791,purC,"[""purC"", ""ade(g)"", ""ade"", ""b2476"", ""ECK2472""]",2596905.0,2597618.0,-,"[""EG10791_RNA""]",mRNA,"[""SAICARSYN-MONOMER""]",True,1.0,TU00055[c],,0
EG10808,pyrE,"[""pyrE"", ""b3642"", ""ECK3632""]",3815127.0,3815768.0,-,"[""EG10808_RNA""]",mRNA,"[""OROPRIBTRANS-MONOMER""]",False,2.0,TU00334[c],EG10863,1
EG10864,rplA,"[""rplA"", ""rpy"", ""b3984"", ""ECK3975""]",4178879.0,4179583.0,+,"[""EG10864_RNA""]",mRNA,"[""EG10864-MONOMER""]",False,6.0,TU0-6512[c],"EG10871,EG10872,EG10873,EG10894,EG10895",5
EG10865,rplB,"[""rplB"", ""b3317"", ""ECK3304""]",3450543.0,3451364.0,-,"[""EG10865_RNA""]",mRNA,"[""EG10865-MONOMER""]",False,11.0,TU00347[c],"EG10866,EG10867,EG10877,EG10882,EG10883,EG10887,EG10902,EG10909,EG10916,EG10918",10
EG10866,rplC,"[""rplC"", ""b3320"", ""ECK3307""]",3452297.0,3452926.0,-,"[""EG10866_RNA""]",mRNA,"[""EG10866-MONOMER""]",False,11.0,TU00347[c],"EG10865,EG10867,EG10877,EG10882,EG10883,EG10887,EG10902,EG10909,EG10916,EG10918",10
EG10867,rplD,"[""rplD"", ""eryA"", ""b3319"", ""ECK3306""]",3451681.0,3452286.0,-,"[""EG10867_RNA""]",mRNA,"[""EG10867-MONOMER""]",False,11.0,TU00347[c],"EG10865,EG10866,EG10877,EG10882,EG10883,EG10887,EG10902,EG10909,EG10916,EG10918",10
EG10868,rplE,"[""rplE"", ""b3308"", ""ECK3295""]",3446899.0,3447438.0,-,"[""EG10868_RNA""]",mRNA,"[""EG10868-MONOMER""]",False,12.0,TU00337[c],"EG10766,EG10869,EG10875,EG10876,EG10879,EG10884,EG10888,EG10904,EG10907,EG10913,EG11232",11
EG10869,rplF,"[""rplF"", ""b3305"", ""ECK3292""]",3445607.0,3446140.0,-,"[""EG10869_RNA""]",mRNA,"[""EG10869-MONOMER""]",False,12.0,TU00337[c],"EG10766,EG10868,EG10875,EG10876,EG10879,EG10884,EG10888,EG10904,EG10907,EG10913,EG11232",11
EG10870,rplI,"[""rplI"", ""b4203"", ""ECK4199""]",4426108.0,4426557.0,+,"[""EG10870_RNA""]",mRNA,"[""EG10870-MONOMER""]",False,4.0,TU00346[c],"EG10764,EG10905,EG10917",3
EG10872,rplK,"[""rplK"", ""relC"", ""b3983"", ""ECK3974""]",4178447.0,4178875.0,+,"[""EG10872_RNA""]",mRNA,"[""EG10872-MONOMER""]",False,6.0,TU0-6512[c],"EG10864,EG10871,EG10873,EG10894,EG10895",5
EG10874,rplM,"[""rplM"", ""b3231"", ""ECK3220""]",3378223.0,3378651.0,-,"[""EG10874_RNA""]",mRNA,"[""EG10874-MONOMER""]",False,2.0,TU00336[c],EG10908,1
EG10875,rplN,"[""rplN"", ""b3310"", ""ECK3297""]",3447778.0,3448149.0,-,"[""EG10875_RNA""]",mRNA,"[""EG10875-MONOMER""]",False,12.0,TU00337[c],"EG10766,EG10868,EG10869,EG10876,EG10879,EG10884,EG10888,EG10904,EG10907,EG10913,EG11232",11
EG10876,rplO,"[""rplO"", ""b3301"", ""ECK3288""]",3444105.0,3444539.0,-,"[""EG10876_RNA""]",mRNA,"[""EG10876-MONOMER""]",False,12.0,TU00337[c],"EG10766,EG10868,EG10869,EG10875,EG10879,EG10884,EG10888,EG10904,EG10907,EG10913,EG11232",11
EG10877,rplP,"[""rplP"", ""b3313"", ""ECK3300""]",3448759.0,3449169.0,-,"[""EG10877_RNA""]",mRNA,"[""EG10877-MONOMER""]",False,11.0,TU00347[c],"EG10865,EG10866,EG10867,EG10882,EG10883,EG10887,EG10902,EG10909,EG10916,EG10918",10
EG10879,rplR,"[""rplR"", ""b3304"", ""ECK3291""]",3445244.0,3445597.0,-,"[""EG10879_RNA""]",mRNA,"[""EG10879-MONOMER""]",False,12.0,TU00337[c],"EG10766,EG10868,EG10869,EG10875,EG10876,EG10884,EG10888,EG10904,EG10907,EG10913,EG11232",11
EG10880,rplS,"[""rplS"", ""b2606"", ""ECK2603""]",2744183.0,2744530.0,-,"[""EG10880_RNA""]",mRNA,"[""EG10880-MONOMER""]",False,4.0,TU00351[c],"EG10915,EG11023,EG11153",3
EG10881,rplT,"[""rplT"", ""pdzA"", ""b1716"", ""ECK1714""]",1799393.0,1799749.0,-,"[""EG10881_RNA""]",mRNA,"[""EG10881-MONOMER""]",False,2.0,TU0-14255[c],EG11231,1
EG10882,rplV,"[""rplV"", ""eryB"", ""b3315"", ""ECK3302""]",3449901.0,3450233.0,-,"[""EG10882_RNA""]",mRNA,"[""EG10882-MONOMER""]",False,11.0,TU00347[c],"EG10865,EG10866,EG10867,EG10877,EG10883,EG10887,EG10902,EG10909,EG10916,EG10918",10
EG10883,rplW,"[""rplW"", ""b3318"", ""ECK3305""]",3451382.0,3451684.0,-,"[""EG10883_RNA""]",mRNA,"[""EG10883-MONOMER""]",False,11.0,TU00347[c],"EG10865,EG10866,EG10867,EG10877,EG10882,EG10887,EG10902,EG10909,EG10916,EG10918",10
EG10884,rplX,"[""rplX"", ""b3309"", ""ECK3296""]",3447453.0,3447767.0,-,"[""EG10884_RNA""]",mRNA,"[""EG10884-MONOMER""]",False,12.0,TU00337[c],"EG10766,EG10868,EG10869,EG10875,EG10876,EG10879,EG10888,EG10904,EG10907,EG10913,EG11232",11
EG10885,rplY,"[""rplY"", ""b2185"", ""ECK2179""]",2282517.0,2282801.0,+,"[""EG10885_RNA""]",mRNA,"[""EG10885-MONOMER""]",True,1.0,TU0-13557[c],,0
EG10886,rpmB,"[""rpmB"", ""b3637"", ""ECK3627""]",3811438.0,3811674.0,-,"[""EG10886_RNA""]",mRNA,"[""EG10886-MONOMER""]",False,4.0,TU0-5522[c],"EG10329,EG10891,EG11312",3
EG10887,rpmC,"[""rpmC"", ""b3312"", ""ECK3299""]",3448568.0,3448759.0,-,"[""EG10887_RNA""]",mRNA,"[""EG10887-MONOMER""]",False,11.0,TU00347[c],"EG10865,EG10866,EG10867,EG10877,EG10882,EG10883,EG10902,EG10909,EG10916,EG10918",10
EG10888,rpmD,"[""rpmD"", ""b3302"", ""ECK3289""]",3444543.0,3444722.0,-,"[""EG10888_RNA""]",mRNA,"[""EG10888-MONOMER""]",False,12.0,TU00337[c],"EG10766,EG10868,EG10869,EG10875,EG10876,EG10879,EG10884,EG10904,EG10907,EG10913,EG11232",11
EG10889,rpmE,"[""rpmE"", ""b3936"", ""ECK3928""]",4127013.0,4127225.0,+,"[""EG10889_RNA""]",mRNA,"[""EG10889-MONOMER""]",True,1.0,TU0-45156[c],,0
EG10890,rpmF,"[""rpmF"", ""b1089"", ""ECK1075""]",1147367.0,1147540.0,+,"[""EG10890_RNA""]",mRNA,"[""EG10890-MONOMER""]",False,5.0,TU0-1[c],"EG10277,EG11317,EG11318,EG11437",4
EG10891,rpmG,"[""rpmG"", ""b3636"", ""ECK3626""]",3811250.0,3811417.0,-,"[""EG10891_RNA""]",mRNA,"[""EG10891-MONOMER""]",False,4.0,TU0-5522[c],"EG10329,EG10886,EG11312",3
EG10892,rpmH,"[""rpmH"", ""rimA"", ""ssaF"", ""b3703"", ""ECK3695""]",3884336.0,3884476.0,+,"[""EG10892_RNA""]",mRNA,"[""EG10892-MONOMER""]",False,2.0,TU00340[c],EG10862,1
EG10900,rpsA,"[""rpsA"", ""ssyF"", ""b0911"", ""ECK0902""]",961995.0,963668.0,+,"[""EG10900_RNA""]",mRNA,"[""EG10900-MONOMER""]",False,2.0,TU361[c],EG11265,1
EG10901,rpsB,"[""rpsB"", ""b0169"", ""ECK0168""]",189874.0,190599.0,+,"[""EG10901_RNA""]",mRNA,"[""EG10901-MONOMER""]",True,1.0,EG10901_RNA[c],,0
EG10902,rpsC,"[""rpsC"", ""b3314"", ""ECK3301""]",3449182.0,3449883.0,-,"[""EG10902_RNA""]",mRNA,"[""EG10902-MONOMER""]",False,11.0,TU00347[c],"EG10865,EG10866,EG10867,EG10877,EG10882,EG10883,EG10887,EG10909,EG10916,EG10918",10
EG10904,rpsE,"[""rpsE"", ""spc"", ""eps"", ""spcA"", ""b3303"", ""ECK3290""]",3444726.0,3445229.0,-,"[""EG10904_RNA""]",mRNA,"[""EG10904-MONOMER""]",False,12.0,TU00337[c],"EG10766,EG10868,EG10869,EG10875,EG10876,EG10879,EG10884,EG10888,EG10907,EG10913,EG11232",11
EG10905,rpsF,"[""rpsF"", ""sdgH"", ""b4200"", ""ECK4196""]",4425118.0,4425513.0,+,"[""EG10905_RNA""]",mRNA,"[""EG10905-MONOMER""]",False,4.0,TU00346[c],"EG10764,EG10870,EG10917",3
EG10906,rpsG,"[""rpsG"", ""b3341"", ""ECK3328""]",3473542.0,3474081.0,-,"[""EG10906_RNA""]",mRNA,"[""EG10906-MONOMER""]",False,4.0,TU00348[c],"EG10360,EG10911,EG11036",3
EG10907,rpsH,"[""rpsH"", ""b3306"", ""ECK3293""]",3446153.0,3446545.0,-,"[""EG10907_RNA""]",mRNA,"[""EG10907-MONOMER""]",False,12.0,TU00337[c],"EG10766,EG10868,EG10869,EG10875,EG10876,EG10879,EG10884,EG10888,EG10904,EG10913,EG11232",11
EG10908,rpsI,"[""rpsI"", ""b3230"", ""ECK3219""]",3377815.0,3378207.0,-,"[""EG10908_RNA""]",mRNA,"[""EG10908-MONOMER""]",True,1.0,TU0-42202[c],,0
EG10909,rpsJ,"[""rpsJ"", ""nusE"", ""b3321"", ""ECK3308""]",3452959.0,3453270.0,-,"[""EG10909_RNA""]",mRNA,"[""EG10909-MONOMER""]",False,11.0,TU00347[c],"EG10865,EG10866,EG10867,EG10877,EG10882,EG10883,EG10887,EG10902,EG10916,EG10918",10
EG10911,rpsL,"[""rpsL"", ""asuB"", ""strA"", ""b3342"", ""ECK3329""]",3474178.0,3474552.0,-,"[""EG10911_RNA""]",mRNA,"[""EG10911-MONOMER""]",False,4.0,TU00348[c],"EG10360,EG10906,EG11036",3
EG10913,rpsN,"[""rpsN"", ""b3307"", ""ECK3294""]",3446579.0,3446884.0,-,"[""EG10913_RNA""]",mRNA,"[""EG10913-MONOMER""]",False,12.0,TU00337[c],"EG10766,EG10868,EG10869,EG10875,EG10876,EG10879,EG10884,EG10888,EG10904,EG10907,EG11232",11
EG10914,rpsO,"[""rpsO"", ""secC"", ""b3165"", ""ECK3154""]",3311415.0,3311684.0,-,"[""EG10914_RNA""]",mRNA,"[""EG10914-MONOMER""]",False,2.0,TU0-6660[c],EG10743,1
EG10915,rpsP,"[""rpsP"", ""b2609"", ""ECK2606""]",2745937.0,2746185.0,-,"[""EG10915_RNA""]",mRNA,"[""EG10915-MONOMER""]",False,4.0,TU00351[c],"EG10880,EG11023,EG11153",3
EG10916,rpsQ,"[""rpsQ"", ""neaA"", ""b3311"", ""ECK3298""]",3448314.0,3448568.0,-,"[""EG10916_RNA""]",mRNA,"[""EG10916-MONOMER""]",False,11.0,TU00347[c],"EG10865,EG10866,EG10867,EG10877,EG10882,EG10883,EG10887,EG10902,EG10909,EG10918",10
EG10917,rpsR,"[""rpsR"", ""b4202"", ""ECK4198""]",4425839.0,4426066.0,+,"[""EG10917_RNA""]",mRNA,"[""EG10917-MONOMER""]",False,4.0,TU00346[c],"EG10764,EG10870,EG10905",3
EG10918,rpsS,"[""rpsS"", ""b3316"", ""ECK3303""]",3450248.0,3450526.0,-,"[""EG10918_RNA""]",mRNA,"[""EG10918-MONOMER""]",False,11.0,TU00347[c],"EG10865,EG10866,EG10867,EG10877,EG10882,EG10883,EG10887,EG10902,EG10909,EG10916",10
EG10919,rpsT,"[""rpsT"", ""supS"", ""sup(s20)"", ""supS20"", ""b0023"", ""ECK0024""]",20815.0,21078.0,-,"[""EG10919_RNA""]",mRNA,"[""EG10919-MONOMER""]",True,1.0,TU0-7842[c],,0
EG10920,rpsU,"[""rpsU"", ""b3065"", ""ECK3055""]",3210781.0,3210996.0,+,"[""EG10920_RNA""]",mRNA,"[""EG10920-MONOMER""]",False,3.0,TU00352[c],"EG10239,EG10896",2
EG10928,sbmA,"[""sbmA"", ""b0377"", ""ECK0372""]",396639.0,397859.0,+,"[""EG10928_RNA""]",mRNA,"[""SBMA-MONOMER""]",False,2.0,TU0-3426[c],G6227,1
EG11024,trpA,"[""trpA"", ""try"", ""tryp"", ""b1260"", ""ECK1254""]",1316416.0,1317222.0,-,"[""EG11024_RNA""]",mRNA,"[""TRYPSYN-APROTEIN""]",False,6.0,TU00067[c],"EG11025,EG11026,EG11027,EG11028,EG11274",5
EG11026,trpC,"[""trpC"", ""trpF"", ""trpCF"", ""b1262"", ""ECK1256""]",1318427.0,1319788.0,-,"[""EG11026_RNA""]",mRNA,"[""PRAI-IGPS""]",False,6.0,TU00067[c],"EG11024,EG11025,EG11027,EG11028,EG11274",5
EG11029,trpR,"[""trpR"", ""rtrY"", ""b4393"", ""ECK4385""]",4632760.0,4633086.0,+,"[""EG11029_RNA""]",mRNA,"[""PD00423""]",True,1.0,TU00220[c],,0
EG11040,tyrB,"[""tyrB"", ""b4054"", ""ECK4046""]",4267114.0,4268307.0,+,"[""EG11040_RNA""]",mRNA,"[""TYRB-MONOMER""]",True,1.0,TU00087[c],,0
EG11050,ugpQ,"[""ugpQ"", ""b3449"", ""ECK3433""]",3587370.0,3588113.0,-,"[""EG11050_RNA""]",mRNA,"[""GLYCPDIESTER-CYTO-MONOMER""]",False,5.0,TU0-5981[c],"EG11046,EG11047,EG11048,EG11049",4
EG11112,aat,"[""aat"", ""ycaA"", ""b0885"", ""ECK0876""]",926728.0,927432.0,-,"[""EG11112_RNA""]",mRNA,"[""EG11112-MONOMER""]",True,1.0,TU0-13077[c],,0
EG11221,zwf,"[""zwf"", ""b1852"", ""ECK1853""]",1934839.0,1936314.0,-,"[""EG11221_RNA""]",mRNA,"[""GLU6PDEHYDROG-MONOMER""]",True,1.0,TU00209[c],,0
EG11231,rpmI,"[""rpmI"", ""b1717"", ""ECK1715""]",1799802.0,1799999.0,-,"[""EG11231_RNA""]",mRNA,"[""EG11231-MONOMER""]",False,2.0,TU0-14255[c],EG10881,1
EG11232,rpmJ,"[""rpmJ"", ""secX"", ""b3299"", ""ECK3286""]",3442618.0,3442734.0,-,"[""EG11232_RNA""]",mRNA,"[""EG11232-MONOMER""]",False,12.0,TU00337[c],"EG10766,EG10868,EG10869,EG10875,EG10876,EG10879,EG10884,EG10888,EG10904,EG10907,EG10913",11
EG11288,mak,"[""mak"", ""yajF"", ""b0394"", ""ECK0389""]",410144.0,411052.0,+,"[""EG11288_RNA""]",mRNA,"[""EG11288-MONOMER""]",True,1.0,TU0-8828[c],,0
EG11663,slyD,"[""slyD"", ""b3349"", ""ECK3336""]",3477907.0,3478497.0,-,"[""EG11663_RNA""]",mRNA,"[""EG11663-MONOMER""]",True,1.0,TU0-13917[c],,0
EG11692,adeD,"[""adeD"", ""adu"", ""yicP"", ""ade"", ""b3665"", ""ECK3656""]",3843964.0,3845730.0,+,"[""EG11692_RNA""]",mRNA,"[""EG11692-MONOMER""]",True,1.0,TU0-8765[c],,0
EG11699,gpmA,"[""gpmA"", ""gpm"", ""b0755"", ""ECK0744""]",786843.0,787595.0,-,"[""EG11699_RNA""]",mRNA,"[""GPMA-MONOMER""]",True,1.0,TU0-14819[c],,0
EG11736,gmhB,"[""gmhB"", ""yaeD"", ""b0200"", ""ECK0200""]",222833.0,223408.0,+,"[""EG11736_RNA""]",mRNA,"[""EG11736-MONOMER""]",True,1.0,TU0-12838[c],,0
EG12075,nikA,"[""nikA"", ""hydD"", ""hydC"", ""b3476"", ""ECK3460""]",3613667.0,3615241.0,+,"[""EG12075_RNA""]",mRNA,"[""NIKA-MONOMER""]",False,6.0,TU0-14783[c],"EG11519,EG12076,EG12077,EG12078,EG12079",5
EG12078,nikD,"[""nikD"", ""hydD"", ""hydC"", ""b3479"", ""ECK3463""]",3617015.0,3617779.0,+,"[""EG12078_RNA""]",mRNA,"[""NIKD-MONOMER""]",False,6.0,TU0-14783[c],"EG11519,EG12075,EG12076,EG12077,EG12079",5
EG12087,nuoG,"[""nuoG"", ""b2283"", ""ECK2277""]",2397439.0,2400165.0,-,"[""EG12087_RNA""]",mRNA,"[""NUOG-MONOMER""]",False,13.0,TU0-198746[c],"EG11773,EG11774,EG12082,EG12083,EG12084,EG12086,EG12088,EG12089,EG12090,EG12091,EG12092,EG12093",12
EG12293,yiaY,"[""yiaY"", ""b3589"", ""ECK3578""]",3756676.0,3757827.0,-,"[""EG12293_RNA""]",mRNA,"[""EG12293-MONOMER""]",True,1.0,TU0-13987[c],,0
EG12424,prmC,"[""prmC"", ""hemK"", ""b1212"", ""ECK1200""]",1266094.0,1266927.0,+,"[""EG12424_RNA""]",mRNA,"[""EG12424-MONOMER""]",False,3.0,TU0-4201[c],"EG10427,EG10761",2
EG12712,luxS,"[""luxS"", ""ygaG"", ""b2687"", ""ECK2681""]",2814218.0,2814733.0,-,"[""EG12712_RNA""]",mRNA,"[""EG12712-MONOMER""]",True,1.0,TU0-36414[c],,0
EG12713,yddG,"[""yddG"", ""b1473"", ""ECK1467""]",1546288.0,1547169.0,-,"[""EG12713_RNA""]",mRNA,"[""EG12713-MONOMER""]",True,1.0,TU0-13284[c],,0
EG20248,uxuB,"[""uxuB"", ""b4323"", ""ECK4314""]",4552901.0,4554361.0,+,"[""EG20248_RNA""]",mRNA,"[""MANNONOXIDOREDUCT-MONOMER""]",False,2.0,TU101[c],EG11066,1
EG50001,rplU,"[""rplU"", ""b3186"", ""ECK3175""]",3333140.0,3333451.0,-,"[""EG50001_RNA""]",mRNA,"[""EG50001-MONOMER""]",False,4.0,TU0-42628[c],"EG11499,EG50002,G7656",3
EG50002,rpmA,"[""rpmA"", ""rpz"", ""b3185"", ""ECK3174""]",3332862.0,3333119.0,-,"[""EG50002_RNA""]",mRNA,"[""EG50002-MONOMER""]",False,4.0,TU0-42628[c],"EG11499,EG50001,G7656",3
G6237,dxs,"[""dxs"", ""yajP"", ""b0420"", ""ECK0414""]",438315.0,440177.0,-,"[""G6237_RNA""]",mRNA,"[""DXS-MONOMER""]",False,4.0,TU00373[c],"EG10508,EG11098,G6236",3
G6397,pgl,"[""pgl"", ""ybhE"", ""b0767"", ""ECK0756""]",798586.0,799581.0,+,"[""G6397_RNA""]",mRNA,"[""6PGLUCONOLACT-MONOMER""]",True,1.0,TU0-8101[c],,0
G6561,murJ,"[""murJ"", ""mviN"", ""yceN"", ""b1069"", ""ECK1054""]",1127839.0,1129374.0,+,"[""G6561_RNA""]",mRNA,"[""G6561-MONOMER""]",True,1.0,TU0-13132[c],,0
G6701,ydbK,"[""ydbK"", ""pfo"", ""b1378"", ""ECK1374""]",1437260.0,1440784.0,-,"[""G6701_RNA""]",mRNA,"[""G6701-MONOMER""]",False,2.0,TU0-41760[c],G6700,1
G6775,adhP,"[""adhP"", ""yddN"", ""b1478"", ""ECK1472""]",1552828.0,1553838.0,-,"[""G6775_RNA""]",mRNA,"[""ADHP-MONOMER""]",True,1.0,TU0-13286[c],,0
G6842,speG,"[""speG"", ""b1584"", ""ECK1579""]",1656184.0,1656744.0,+,"[""G6842_RNA""]",mRNA,"[""SPERMACTRAN-MONOMER""]",False,2.0,TU0-13335[c],G6841,1
G6941,astB,"[""astB"", ""ydjT"", ""b1745"", ""ECK1743""]",1826916.0,1828259.0,-,"[""G6941_RNA""]",mRNA,"[""SUCCARGDIHYDRO-MONOMER""]",False,5.0,TU0-1002[c],"G6940,G6942,G6943,G6944",4
G6943,astA,"[""astA"", ""ydjV"", ""b1747"", ""ECK1745""]",1829731.0,1830765.0,-,"[""G6943_RNA""]",mRNA,"[""ARGSUCCTRAN-MONOMER""]",False,5.0,TU0-1002[c],"G6940,G6941,G6942,G6944",4
G7836,epmB,"[""epmB"", ""yjeK"", ""b4146"", ""ECK4140""]",4374629.0,4375657.0,-,"[""G7836_RNA""]",mRNA,"[""G7836-MONOMER""]",True,1.0,TU0-14143[c],,0
G7859,ulaE,"[""ulaE"", ""sgaU"", ""yjfW"", ""b4197"", ""ECK4193""]",4422846.0,4423700.0,+,"[""G7859_RNA""]",mRNA,"[""G7859-MONOMER""]",False,6.0,TU0-5162[c],"EG12494,EG12495,G7856,G7858,G7860",5
